CodeDescription,UnitSize,PackSize,Qty,UnitPrice,LinePrice,V.A.T,Barcode,IndividualPrice,Cost,ProductCode,Description
006024 - BRYLCREEM STYLING POT ORIGINAL,150ML,6,3,7.99,23.97,1,5000231039508,1.331666667,1.34,BRYLCREEM STYLING POT ORIGINAL,006024 
207797 - CHERISH CUBE TISSUES BOUTIQUE,100'S,36,1,11.99,11.99,1,5017289002606,0.333055556,0.34,CHERISH CUBE TISSUES BOUTIQUE,207797 
493148 - CHERISH FACE WIPES 3IN1 BEAUTY CLEANSING ,25S,12,2,5.29,10.58,1,5017289001722,0.440833333,0.45,CHERISH FACE WIPES 3IN1 BEAUTY CLEANSING ,493148 
347490 - CLEAN & FRESH BLEACH CITRUS,750ML,12,2,3.75,7.50,1,5010159030297,0.3125,0.32,CLEAN & FRESH BLEACH CITRUS,347490 
347504 - CLEAN & FRESH BLEACH CITRUS,2LTR,6,2,4.09,8.18,1,5010159030303,0.681666667,0.69,CLEAN & FRESH BLEACH CITRUS,347504 
258736 - CLEAN & FRESH BLEACH ORIGINAL,2LTR,6,2,4.09,8.18,1,5010159030228,0.681666667,0.69,CLEAN & FRESH BLEACH ORIGINAL,258736 
198295 - CLEAN & FRESH BLEACH ORIGINAL,750ML,12,2,3.75,7.50,1,5010159030204,0.3125,0.32,CLEAN & FRESH BLEACH ORIGINAL,198295 
835754 - CLEAN & FRESH FABRIC CONDITIONER JASMINE,LTR,8,2,4.89,9.78,1,5011209042277,0.61125,0.62,CLEAN & FRESH FABRIC CONDITIONER JASMINE,835754 
858566 - COLGATE TOOTHBRUSH TWISTER FRESH,J08,12,1,5.49,5.49,1,5000209216511,0.4575,0.46,COLGATE TOOTHBRUSH TWISTER FRESH,858566 
257007 - COLGATE TOOTHBRUSH ZIG ZAG,SOFT,12,1,3.79,3.79,1,6001067004936,0.315833333,0.32,COLGATE TOOTHBRUSH ZIG ZAG,257007 
190356 - COLGATE TOOTHPASTE DEEP CLEAN WHITENING,100ML,12,2,6.95,13.90,1,8714789115474,0.579166667,0.58,COLGATE TOOTHPASTE DEEP CLEAN WHITENING,190356 
170788 - COLGATE TOOTHPASTE TOTAL,75ML,12,2,8.16,16.32,1,8714789615301,0.68,0.68,COLGATE TOOTHPASTE TOTAL,170788 
243981 - CRYSTALE DISHWASHER SALT,2KG,6,2,3.99,7.98,1,5060267760586,0.665,0.67,CRYSTALE DISHWASHER SALT,243981 
759326 - CUSSONS BABY POWDER,350GM,6,2,4.55,9.10,1,5000101804854,0.758333333,0.76,CUSSONS BABY POWDER,759326 
952061 - CUSSONS PURE HAND WASH ANTI BACTERIAL (D),500ML,6,2,3.85,7.70,1,5000101993497,0.641666667,0.65,CUSSONS PURE HAND WASH ANTI BACTERIAL (D),952061 
