Code,Description,Barcode,Cases,InnerQ,OuterQ,Total Qty,Required Date,Expected Month,Price,Line Total,InnerB,OuterB
5119/96,12 Half Sized Coloured Pencils,5013922051192,1,24,96,96,17/09/14,17/09/14,0.2,19.2,5013922151199,5013922851198
5120/72,10 Full Size Colour Pencils,5013922051208,1,12,72,72,17/09/14,17/09/14,0.24,17.28,5013922151205,5013922851204
6004,4 Piece Glue Set  153gm,5013922060040,1,12,48,48,17/09/14,17/09/14,0.48,23.04,5013922160047,5013922860046
3058,48 Page Multi-Col Scrapbook,5013922030586,1,6,72,72,17/09/14,17/09/14,0.35,25.2,5013922130583,5013922830582
3060/72,Scrapbook,5013922030609,1,6,72,72,17/09/14,17/09/14,0.35,25.2,5013922130606,5013922830605
5095,A4 White Card 30 Sheets,5013922050959,1,12,48,48,17/09/14,17/09/14,0.48,23.04,5013922150956,5013922850955
6215,20 Flourescent Flashes 20 x 15cm,5013922062150,1,12,48,48,17/09/14,17/09/14,0.42,20.16,5013922162157,5013922862156
6216,40 Flourescent Flashes 15 x 10 cm,5013922062167,1,12,48,48,17/09/14,17/09/14,0.42,20.16,5013922162164,5013922862163
6217,60 Flourescent Flashes 10 x 7.5cm,5013922062174,1,12,48,48,17/09/14,17/09/14,0.42,20.16,5013922162171,5013922862170
6218,20 Flourescent Stars 15 x 15 cm,5013922062181,1,12,48,48,17/09/14,17/09/14,0.42,20.16,5013922162188,5013922862187
5684,A4 60 Sheet Sketch Pad,5013922056845,1,6,48,48,17/09/14,17/09/14,0.48,23.04,5013922156842,5013922856841
1037,5 Ball Point Pens,5013922010373,1,12,72,72,17/09/14,17/09/14,0.46,33.12,5013922110370,5013922810379
1036,4 Roller ball Pens,5013922010366,1,12,72,72,17/09/14,17/09/14,0.5,36,5013922110363,5013922810362
5635,8 Multicoloured Perm. Markers,5013922056357,1,12,48,48,17/09/14,17/09/14,0.46,22.08,5013922156354,5013922856353
1141,3 Chunky Dry-Wipe Board Markers,5013922011417,1,12,72,72,17/09/14,17/09/14,0.48,34.56,5013922111414,5013922811413
8002,Jumbo Bingo Tickets,5013922080024,1,12,96,96,17/09/14,17/09/14,0.5,48,5013922180021,5013922880020
5019/96,12 HB Pencils with erasers,5013922050195,1,24,96,96,17/09/14,17/09/14,0.33,31.68,5013922150192,5013922850191
9192,Paper Clips Asstd  Apx 120 Hanging box,5013922091921,1,12,96,96,17/09/14,17/09/14,0.33,31.68,5013922191928,5013922891927
6030/72,5 by 3gm tubes Super Glue,5013922060309,1,12,72,72,17/09/14,17/09/14,0.45,32.4,5013922160306,5013922860305
3134,200  36 x 89mm Address Labels,5013922031347,1,12,72,72,17/09/14,17/09/14,0.48,34.56,5013922131344,5013922831343
3251/96,Reporter Notepad 160 Pages,5013922032511,1,12,96,96,17/09/14,17/09/14,0.25,24,5013922132518,5013922832517
5146,12 Watercolour Pencils,5013922051468,1,12,48,48,17/09/14,17/09/14,0.45,21.6,5013922151465,5013922851464
5147,12 Sketching Pencils,5013922051475,1,12,48,48,17/09/14,17/09/14,0.45,21.6,5013922151472,5013922851471
4025/96,Duplicate Book - Half Size,5013922040257,1,12,96,96,17/09/14,17/09/14,0.28,26.88,5013922140254,5013922840253
6028,6 A5 Polyfile Plastic Wallets,5013922060286,1,12,72,72,17/09/14,17/09/14,0.48,34.56,5013922160283,5013922860282
6046,5 A5 Zip Top Document Wallets,5013922060460,1,12,72,72,17/09/14,17/09/14,0.5,36,5013922160467,5013922860466
5922,20 A4 Laminating Pouches,5013922059228,1,12,48,48,17/09/14,17/09/14,1.2,57.6,5013922159225,5013922859224
4051/72,10 A4 Index Dividers Paper,5013922040516,1,12,72,72,17/09/14,17/09/14,0.27,19.44,5013922140513,5013922840512
4248,6 E Mailer Bags Medium 240 x 320,5013922042480,1,12,72,72,17/09/14,17/09/14,0.48,34.56,5013922142487,5013922842486
4249,3 E Mailer Bags Large 320 x 440mm,5013922042497,1,12,72,72,17/09/14,17/09/14,0.48,34.56,5013922142494,5013922842493
4672,30 C5 White peal & seal Envelopes,5013922046723,1,10,80,80,17/09/14,17/09/14,0.46,36.8,5013922146720,5013922846729
4288,Cork Board 400 x 600mm,5013922042886,1,4,20,20,17/09/14,17/09/14,1.8,36,5013922142883,5013922842882
6198,A4 Twin Wiro Notebook,5013922061986,1,6,24,24,17/09/14,17/09/14,1.1,26.4,5013922161983,5013922861982
9281,Magic Bubbles 60ml,5013922092812,1,24,96,96,17/09/14,17/09/14,0.12,11.52,5013922192819,5013922892818
5995,Linen Bridge Size Playing Card,5013922059952,1,12,72,72,17/09/14,17/09/14,0.48,34.56,5013922159959,5013922859958
4224,2 Bubble Env Size H 270 x 360,5013922042244,1,1,60,60,17/09/14,17/09/14,0.45,27,5013922142241,5013922842240
4238,Bubble Envelope Size J - Bulk,5013922042381,1,10,50,50,17/09/14,17/09/14,0.35,17.5,5013922142388,5013922842387
4239,Bubble Envelope Size K - Bulk,5013922042398,1,10,50,50,17/09/14,17/09/14,0.35,17.5,5013922142395,5013922842394
