Item,Description,Pack,outer,qty,Price,Value,Barcode
NE0065,24*24CM ICE BUCKET WITH LID,,12 Each,12 @,4.95,59.40,5024418849582
NI0016,WOODEN HEART CUT OUT BOWL,,12 Each,12 @,4.50,54.00,5024418916345
NI0762,MED NATURAL MUSHROOM,12,24 Each,24 @,2.40,57.60,5024418919827
OR0440,8X3 HANGING LOVE TAGS,24,96 Each,96   @,0.50,48.00,5024418806592
OR0473,HEART SHAPED TRINKET BOX,6,24 Each,24 @,2.65,63.60,5024418885863
OR0481,11X8CM 4AST SNACK BOWLS,6 I,48 Each,48 @,1.15,55.20,5024418889250
OR0521,13CM METAL TOP MUSHROOM,1 2   I,24 Each,24 @,2.25,54.00,5024418920304
PH1956,2X3 INCHES PHOTO FRAME,24 I,72 Each,72 @,0.50,36.00,5024418848943
RR0078,S/3 RUSTIC SQUARE PLANTERS,,12 Each,12 @,4.50,54.00,5024418836766
SG0095,10X8 SET OF 4 BEE TINS,1 2,72 Each,72 @,1.00,72.00,5024418784432
SG0107,S/3 WOODEN CRATES,,4 Each,4 @,12.98,51.92,5024418801498
ST4082,20M SATIN RIBBON - 1 ' WIDE,48,96 Each,96 @,0.75,72.00,5024418431824
ST4083,30M SOFT CORD-7MM WIDE,48,96 Each,96 @,0.50,48.00,5024418431862
ST4506,PAINTED WOBBLY EYES-4 ASST,12,96 Each,96 @,0.50,48.00,5024418474395
ST4828A,ASSORTED BULLDOG CLIPS,12,72 Each,72 @,0.55,39.60,5024418315155
ST4867,2M PASTEL GLITTER RIBBN IN DIS,48,144 Each,144 @,0.50,72.00,5024418403524
ST4882,25MMX5M FLOWER RIBBONS-6 ASST,48,144 Each,144 @,0.50,72.00,5024418514329
ST5015,4 SECTION JEWELLERY/CRAFT SEQU,12,72 Each,72 @,0.55,39.60,5024418309284
ST5035,PK6 AS GLITTER CARDS,12,72 Each,72 @,0.55,39.60,5024418398745
ST5088,AS SKETCH PAD - 80 SHEETS,12,60 Each,60 @,0.75,45.00,5024418417682
ST5089,A4 SKETCH PAD   80 SHEETS,6,36 Each,36 @,1. 35,48.60,5024418417699
ST5090,A3 SKETCH PAD   80 SHEETS,6,18 Each,18 @,2.50,45.00,5024418417705
ST5096,4 ASSORTED WOBBLY EYES,12,96 Each,96 @,0.50,48.00,5024418417743
ST5260,4.5' METAL CASH BOX,12,24 Each,24 @,2.50,60.00,5024418459125
ST5261,6' METAL CASH BOX,6,18 Each,18 @,3.50,63.00,5024418318002
ST5262,8' METAL CASH BOX,6,12 Each,12 @,3.95,47.40,5024418318019
ST5263,10' METAL CASH BOX,,12 Each,12 @,4.85,58.20,5024418318026
ST5950,50 SEALING BAGS,1 2,72 Each,72   @,0.50,36.00,5024418492863
ST7018,PK40 CRAFT SEAL BAGS 12.4X18,12,72 Each,72   @,0.50,36.00,5024418592570
TR0019,S/6 GIFT BOXES,,8 Each,8  @,9.50,76.00,5024418868828
TR0022,25X16X10 TRAVEL WASH BAG,6,24 Each,24 @,1.95,46.80,5024418884637
RE0018, S/6 GIFT BOXES,,,,9.5.0,,5024418868958
