"id","stocktake_id","product_id","stock_location_shelf_id","stocktake_product_qty","seasonal_storage_box_id","stocktake_product_date_created","stocktake_product_date_modified"
66,1,110,NULL,4,1,"2015-01-01 12:00:00","0000-00-00 00:00:00"
67,1,111,NULL,5,1,"2015-01-01 12:00:00","0000-00-00 00:00:00"
68,1,112,NULL,6,1,"2015-01-01 12:00:00","0000-00-00 00:00:00"
69,1,113,NULL,22,1,"2015-01-01 12:00:00","0000-00-00 00:00:00"
70,1,114,NULL,10,1,"2015-01-01 12:00:00","0000-00-00 00:00:00"
71,1,115,NULL,3,1,"2015-01-01 12:00:00","0000-00-00 00:00:00"
72,1,116,NULL,6,1,"2015-01-01 12:00:00","0000-00-00 00:00:00"
73,1,117,NULL,7,1,"2015-01-01 12:00:00","0000-00-00 00:00:00"
74,1,118,NULL,10,1,"2015-01-01 12:00:00","0000-00-00 00:00:00"
75,1,119,NULL,8,1,"2015-01-01 12:00:00","0000-00-00 00:00:00"
76,1,44,NULL,4,1,"2015-01-01 12:00:00","0000-00-00 00:00:00"
77,1,120,NULL,2,1,"2015-01-01 12:00:00","0000-00-00 00:00:00"
78,1,121,NULL,1,1,"2015-01-01 12:00:00","0000-00-00 00:00:00"
79,1,122,NULL,5,1,"2015-01-01 12:00:00","0000-00-00 00:00:00"
80,1,123,NULL,8,1,"2015-01-01 12:00:00","0000-00-00 00:00:00"
81,1,124,NULL,10,1,"2015-01-01 12:00:00","0000-00-00 00:00:00"
82,1,125,NULL,4,1,"2015-01-01 12:00:00","0000-00-00 00:00:00"
83,1,14,NULL,6,1,"2015-01-01 12:00:00","0000-00-00 00:00:00"
84,1,126,NULL,9,1,"2015-01-01 12:00:00","0000-00-00 00:00:00"
85,1,127,NULL,3,1,"2015-01-01 12:00:00","0000-00-00 00:00:00"
86,1,128,NULL,10,1,"2015-01-01 12:00:00","0000-00-00 00:00:00"
87,1,8,NULL,20,1,"2015-01-01 12:00:00","0000-00-00 00:00:00"
