Code,Description,Barcode,Cases,InnerQ,OuterQ,Total Qty,Required Date,Expected Month,Price,Line Total,InnerB,OuterB
1102/72,20 fine tip Fibre colouring Pens,5013922011028,1,12,72,72,14/10/14,14/10/14,0.32,23.04,5013922111025,5013922811024
1106/10,10 Thick & Thin Fibre Pen,5013922011066,1,12,96,96,14/10/14,14/10/14,0.48,46.08,5013922111063,5013922811062
5080/96,16 Wax Crayons In hanging box,5013922050805,1,12,96,96,14/10/14,14/10/14,0.24,23.04,5013922150802,5013922850801
1209,12 Col. Chalks In hanging box,5013922012094,1,12,96,96,14/10/14,14/10/14,0.18,17.28,5013922112091,5013922812090
3103/48,Medium (12 strips) modelling clay,5013922031033,1,12,48,48,14/10/14,14/10/14,0.38,18.24,5013922131030,5013922831039
6027,PVA Glue 500ml White,5013922060279,1,6,36,36,14/10/14,14/10/14,0.9,32.4,5013922160276,5013922860275
6005/72,2 by 40 ml PVA Glue Bottles,5013922060057,1,12,72,72,14/10/14,14/10/14,0.27,19.44,5013922160054,5013922860053
5095,A4 White Card 30 Sheets,5013922050959,3,12,48,144,14/10/14,14/10/14,0.48,69.12,5013922150956,5013922850955
4049,Super Jumbo Colouring Book,5013922040493,1,6,48,48,14/10/14,14/10/14,0.48,23.04,5013922140490,5013922840499
1008,6 Mechanical Pencils with erasers,5013922010083,1,12,48,48,14/10/14,14/10/14,0.42,20.16,5013922110080,5013922810089
6073,8pcs Geomentry Math Set,5013922060736,1,12,72,72,14/10/14,14/10/14,0.48,34.56,5013922160733,5013922860732
9191,Push Pins Appx 50  hanging box + CDU,5013922091914,1,12,96,96,14/10/14,14/10/14,0.33,31.68,5013922191911,5013922891910
6224,Coloured elastic Bands,5013922062242,1,12,72,72,14/10/14,14/10/14,0.48,34.56,5013922162249,5013922862248
6225,Original Elastic Bands,5013922062259,1,12,72,72,14/10/14,14/10/14,0.48,34.56,5013922162256,5013922862255
3255/72,100 Sheet Plain Duke Pad,5013922032559,1,12,72,72,14/10/14,14/10/14,0.26,18.72,5013922132556,5013922832555
4069/96,Receipt Book,5013922040691,1,12,96,96,14/10/14,14/10/14,0.28,26.88,5013922140698,5013922840697
4061/48,Invoice Book,5013922040615,1,12,48,48,14/10/14,14/10/14,0.5,24,5013922140612,5013922840611
4023/48,Duplicate Book - Full Size,5013922040233,1,12,48,48,14/10/14,14/10/14,0.5,24,5013922140230,5013922840239
8000,Cloakroom Tickets 1-500,5013922080000,1,12,144,144,14/10/14,14/10/14,0.28,40.32,5013922180007,5013922880006
8001,Cloakroom tickets 1 - 1000,5013922080017,1,12,72,72,14/10/14,14/10/14,0.5,36,5013922180014,5013922880013
6141,A4 Display Book 20 Pocket,5013922061412,1,12,48,48,14/10/14,14/10/14,0.48,23.04,5013922161419,5013922861418
6195/10,A4 Lever Arch Files ready assembled,5013922061955,1,1,10,10,14/10/14,14/10/14,0.98,9.8,5013922161952,5013922861951
5111,5 Face paints,5013922051116,1,12,72,72,14/10/14,14/10/14,0.45,32.4,5013922151113,5013922851112
6200,A4 80 Sheet Refill Pad,5013922062006,1,6,36,36,14/10/14,14/10/14,0.75,27,5013922162003,5013922862002
6199,A5 Twin Wiro Notebook,5013922061993,1,6,48,48,14/10/14,14/10/14,0.6,28.8,5013922161990,5013922861999
6198,A4 Twin Wiro Notebook,5013922061986,1,6,24,24,14/10/14,14/10/14,1.1,26.4,5013922161983,5013922861982
4293,Dry wipe Board Pine Frame 400 x 600mm,5013922042930,1,4,20,20,14/10/14,14/10/14,2,40,5013922142937,5013922842936
1277,4m x 70cm Parcel/Kraft wrap,5013922012773,1,36,72,72,14/10/14,14/10/14,0.36,25.92,5013922112770,5013922812779
5158/48,3 by 40m Balls by String,5013922051581,1,12,48,48,14/10/14,14/10/14,0.48,23.04,5013922151588,5013922851587
5160/48,100m ball of white String,5013922051604,1,12,48,48,14/10/14,14/10/14,0.48,23.04,5013922151601,5013922851600
4682,40 DL Window peal & seal Envelopes,5013922046822,1,12,72,72,14/10/14,14/10/14,0.46,33.12,5013922146829,5013922846828
4674,50 DL White peal & seal Envelopes,5013922046747,1,12,72,72,14/10/14,14/10/14,0.46,33.12,5013922146744,5013922846743
4673,30 C5 Manila peal & seal Envelopes,5013922046730,1,10,80,80,14/10/14,14/10/14,0.46,36.8,5013922146737,5013922846736
4670,15 C4 White peel & seal Envelopes,5013922046709,1,20,80,80,14/10/14,14/10/14,0.46,36.8,5013922146706,5013922846705
4217,8 Bubble Env Size A 160 x 100,5013922042176,1,1,40,40,14/10/14,14/10/14,0.45,18,5013922142173,5013922842172
4218,6 Bubble Env Size B 120 x 215,5013922042183,1,1,40,40,14/10/14,14/10/14,0.45,18,5013922142180,5013922842189
4219,5 Bubble Env Size C 150 x 215,5013922042190,1,1,24,24,14/10/14,14/10/14,0.45,10.8,5013922142197,5013922842196
4220,4 Bubble Env Size D 180 x 265,5013922042206,1,1,30,30,14/10/14,14/10/14,0.45,13.5,5013922142203,5013922842202
4221,4 Bubble Env Size E 220 x 265,5013922042213,1,1,30,30,14/10/14,14/10/14,0.45,13.5,5013922142210,5013922842219
4222,3 Bubble Env Size F 220 x 335,5013922042220,1,1,40,40,14/10/14,14/10/14,0.45,18,5013922142227,5013922842226
4225,6 Cd Bubble Envelope  140x 170mm,5013922042251,1,1,40,40,14/10/14,14/10/14,0.45,18,5013922142258,5013922842257
