StockCode,Description,Barcode,Cases,InnerQty,CaseQty,Total Qty,Required Date,Expected Month,Price,Line Total,InnerBarcode,OuterBarcode
1277,4m x 70cm Parcel/Kraft wrap,5013922012773,1,36,72,72,03/02/2014,03/02/2014,0.36,25.92,5013922112770,5013922812779
6829,Reward Stars Gold  Silver and Bronze,5013922068299,1,12,72,72,03/02/2014,03/02/2014,0.48,34.56,5013922168296,5013922868295
6027,PVA Glue 500ml White,5013922060279,1,6,36,36,03/02/2014,03/02/2014,0.9,32.4,5013922160276,5013922860275
6826,Messy Mat,5013922068268,1,12,48,48,03/02/2014,03/02/2014,0.45,21.6,5013922168265,5013922868264
6198,A4 Twin Wiro Notebook,5013922061986,1,6,24,24,03/02/2014,03/02/2014,1.1,26.4,5013922161983,5013922861982
6199,A5 Twin Wiro Notebook,5013922061993,1,6,48,48,03/02/2014,03/02/2014,0.6,28.8,5013922161990,5013922861999
6200,A4 80 Sheet Refill Pad,5013922062006,1,6,36,36,03/02/2014,03/02/2014,0.75,27,5013922162003,5013922862002
4289,Cork Board 600 x 800mm,5013922042893,1,2,10,10,03/02/2014,03/02/2014,3,30,5013922142890,5013922842899
