Code,Description,Unit Size,PackSize,Ord Qty,Unit Price,Line Price,Barcode,IndividualPrice
128050,JEYES FLUID READY TO USE,500ML,6,2,5.39,£10.78,5000185111138,0.9
752205,NEUTRADOL CRPET S/FRSH+50G,400GM,12,2,7.49,£14.98,5013912908284,0.63
192550,NEUTRADOL DUSTBIN ODOUR DESTROYER,350g,6,2,3.99,£7.98,5013912907409,0.67
045282,NEUTRADOL GEL CONC ORIG,140GM,12,1,7.69,£7.69,5013912359345,0.65
331117,NEUTRADOL GEL CONC S/FRESH,140GM,12,1,7.69,£7.69,5013912900066,0.65
091661,OUST ALL PURPOSE DESCALER,3 SACH,6,8,5.49,£43.92,5000325018990,0.92
934241,OUST ALL PURPOSE DESCALER,250ml,6,4,6.99,£27.96,5000325030527,1.17
981309,"PAROZONE TLET WIPES CITRUS08/18",40S,8,2,5.69,£11.38,5000185103652,0.72
977283,"PAROZONE TLET WIPES ORIG03/18",40S,8,2,5.69,£11.38,5000185103096,0.72
949480,PERSIL W/UP APPLE FIZZ,500ML,12,1,6.79,£6.79,5010159893694,0.57
174409,PLEDGE M/S ORIG CLASSIC,250ML,6,3,4.09,£12.27,5000204689204,0.69
174392,PLEDGE POLISH SPRINGTIME,250ML,6,3,4.09,£12.27,5000204689235,0.69
174417,PLEDGE POLISH WOOD CLASSIC,250ML,6,3,4.09,£12.27,5000204690088,0.69
897150,"UNBLOK SINK &amp; DRAIN 2IN1TOOL&amp;GEL",500ML,6,2,3.89,£7.78,5011962360052,0.65
265789,VAC FRESH PET FRESH,6PK,12,2,6.49,£12.98,746984923453,0.55
063616,VIM SCOUR POWDER,500GM,8,4,3.99,£15.96,5060002361559,0.5
070617,ZOFLORA ASSTD A,56ML,12,1,5.89,£5.89,5011309300512,0.5
548759,ZOFLORA ASSTD D,56ML,12,1,5.89,£5.89,5011309300918,0.5
900747,HANKIES LADIES BOXED 3PACK,HK010,12,2,7.20,£14.40,5020133160100,0.6
537611,NICKY TALENT KITCHEN TOWEL,4PK,6,12,3.89,£46.68,8004260481137,0.65
102749,SOFTQUILT TOILET ROLL 3PLY WHITE /BLUE,4PK,10,30,6.49,£194.70,5060043670955,0.65
314113,"KINNERTON CHOC CALENDARS30/4/17",,36,2,22.35,£44.70,5010775184411,0.63
Order Total Ex-VAT - 1204.83,,,,,,,,
