No,Description,Item Taken before,Price,Outer,Inner,Barcode,Outer Barcode,Item (L),Item (W),Item (H),Inner (L),Inner (H),Outer (L),Outer (W),Outer (H),Pallet Qty,Outer Gross Weight,Outer Nett Weight,Item Gross Weight,Item Nett Weight
KCCLING3,40m x 30cm CateringCling Film Wrap,YES,0.496,24,12,9999999999999,,0.001,"4,000",29.3,24.3,18,25.8,37.5,32,"1,440",4.675,4.314,0,0.085
KCFOIL10,30cm x 10m Aluminium Catering Kitchen Foil,YES,0.496,12,12,5013478117830,,10,28.5,0.011,0,0,12.7,17,32,"3,180",1.508,1.498,0,0.074
KCFOIL30,30cm x 25m Catering Aluminium Kitchen Foil,YES,1,12,12,5013478111470,,"2,500",29.9,0.1,0,0,19,26.8,32,"1,320",3.693,3.68,0,0.196
KCFOIL45,45cm x 15m Catering Aluminium Kitchen Foil,YES,1,12,12,5013478111487,,45,0.01,"1,500",0,0,47,27,19.5,864,3.996,3.982,0,0.178
KCFOIL6,45cmx6m Aluminium Kitchen Catering Foil,YES,0.496,12,12,5013478139566,,0,45.7,0.009,0,0,22.6,17,46.2,"1,908",1.726,1.714,0,0.071
KGH2B,1pr Household Latex Rubber Gloves -  Medium,YES,0.432,48,48,5013478136916,,0.5,12,26.5,3,33,24,29.5,13,"7,200",2.215,1.917,0,0.037
KGH3B,1 Pair Household Latex Rubber Gloves - Large,YES,0.432,48,48,5013478136923,,1.5,12,27,0,0,23.5,30,14,"7,200",2.516,2.263,0,0.279
KGV1,100 Pack Powdered Vinyl Disposable Gloves - Small,YES,2,10,10,5013478118714,,4,10,20,0,0,25,29,24.5,960,4.366,4.111,0,0
KGV2,100 Pack Powdered Vinyl Disposable Gloves - Medium,YES,2,10,10,5013478118721,,0.03,12,23.5,0,0,24.5,26.2,24.6,660,5.419,5.125,0,0.005
KGV3,100 Pack Powdered Vinyl Disposable Gloves - Large,YES,2,10,10,5013478118738,,1,15,23,0,0,24,29,24.5,960,5.722,5.45,0,0.005
KGV4,100 Pack Powdered Vinyl Disposable Gloves - XLarge,YES,2,10,10,5013478118745,,10,17,2.3,0,0,25,29,24.5,960,6.3,5.987,0,0.546
PEST14,Wasp Trap,YES,0.496,24,12,5013478120106,,8.5,8.5,44,28,14,29.5,37,31.5,"1,320",2.431,1.976,0,0
PEST3,4 Pack Traditional Wooden Mouse Traps,YES,0.496,48,12,5013478119995,,4.5,10,2,21.4,10.9,23.5,40.5,24,"4,368",5.568,5.154,0,0.08
PEST7,Humane Mouse Trap,YES,0.496,48,12,5013478120038,,4,4,17,22,9.5,23,58,42,"1,728",4.422,3.785,0,0
PEST8,2 Pack Mouse Glue Traps,YES,0.496,48,24,5013478120045,,0.2,13.5,20.5,10.6,22.1,23.9,25.6,18,"3,458",4.435,4.218,0,0.066
PS1000,1L Hand Sprayer,YES,0.512,25,25,5013478554789,,11.7,10,27.5,0,0,50,33.8,39,700,2.853,2.125,0,0.081
RC101,"Pro Gold 8"" Bypass Deluxe Secateur",YES,2.16,72,12,5013478132017,,1.8,6,20.5,20.1,15.2,29.3,42,49,"1,944",18.8,17.88,0,0.199
RC309,"Pro Gold Deluxe 21"" Bow Saw",YES,2,12,12,5013478132123,,2.75,62,21.5,0,0,23.5,64,28,480,7.9,7.041,0.571,0.566
SL240CP,2.40mm Trimmer Line,YES,0.8,100,20,5013478561824,,0.2,0.2,"1,500",12.6,30.4,25.3,65.7,32.2,"3,000",10.6,9.971,0,0
SL300CP,3.00mm Trimmer Line,YES,1.28,100,20,5013478112279,,0.3,0.3,"1,509",14.2,37.5,29.2,73,38.5,"1,800",16.3,15.524,0,0.123
SLBALL,Solar Powered Crackle Glass Colour Changing Light,YES,3.2,6,6,5013478139764,,10,10,39.5,0,0,23.8,33.5,41.7,336,3.299,2.261,0,0.434
SLJAR,Solar Powered Mosaic Glass Jar Light,YES,3.2,4,4,5013478139320,,10,10,9.3,0,0,24.7,24.7,13,720,1.706,1.435,0,0.334
SLSL2,50 White LED Solar String Lights,YES,2.6,12,12,5013478131843,,6,5.5,690,0,0,26,26,35,792,2.651,2.3,0,0.126
SLSL4,50 Multi Coloured LED Solar String Lights,YES,2.6,12,12,5013478137746,,6,6.9,14.5,0,0,26,26,35.5,792,2.605,2.23,0,0.117
TRCAMPL,Battery Operated LED Camping Outdoor Lantern Torch,YES,5,6,6,5013478143266,,12,13,31,0,0,29,43,27.7,270,3.9,3.451,0,0.477
U149,4.5inch (11cm) Sink Drain Plunger,YES,0.6,50,50,5013478450852,,11,11,36,0,0,34,37,28.5,"2,250",7.6,6.858,0,0.132
WHSHEAR,18in Wooden Handle Hedge Shear,YES,1.6,24,12,5013478118202,,7,15.4,48,24,19,25.5,51.2,41,960,13.7,13.1,0,0.501
