DESCRIPTION,CODE,UNIT,PACK,RRP,CASECOST£,Cost,EANCode,OUTERBARCODE,PALLET,LAYER,Name
BRISTOWS H/S NATURL                ,186167,300ML ,6,1.00,4.09,0.68,5014697026842 ,05014697027993 ,295,59,BRISTOWS H/S NATURL - 300ML 
BRISTOWS H/S ULTRA                 ,186196,300ML ,6,1.00,4.09,0.68,5014697026903 ,05014697028051 ,295,59,BRISTOWS H/S ULTRA - 300ML 
BRITE OVEN POWER KIT 50% EX FREE   ,205212,495ML ,6,1.00,3.95,0.66,5011962540010 ,5011962100450  ,180,30,BRITE OVEN POWER KIT 50% EX FREE - 495ML 
BRYLCREEM RED STYLING POT          ,006024,150ML ,6,1.69,6.89,1.15,5000231039508 ,05000231060847 ,477,53,BRYLCREEM RED STYLING POT - 150ML 
CAREX H/W ALOE VERA(D)             ,646507,250ML ,6,1.00,3.95,0.66,5000101665400 ,05000101665448 ,318,53,CAREX H/W ALOE VERA(D) - 250ML 
CAREX H/W ORIGINAL                 ,646474,250ML ,6,0.99,3.95,0.66,5000101346170 ,05000101346194 ,318,53,CAREX H/W ORIGINAL - 250ML 
CHARLIE B/S BLACK                  ,120543,75ML  ,6,1.00,3.99,0.67,5000386296412 ,05000386296429 ,625,125,CHARLIE B/S BLACK - 75ML  
CHARLIE B/S PINK                   ,120569,75ML  ,6,1.00,3.99,0.67,5000386292872 ,05000386292889 ,625,125,CHARLIE B/S PINK - 75ML  
CHERISH FACE WIPES NORM 3IN1       ,493148,25S   ,12,0.69,5.29,0.44,5017289001722 ,00050172890001 ,180,20,CHERISH FACE WIPES NORM 3IN1 - 25S   
CLEAN N FRESH POWDER ORANGE 13W    ,191049,867G  ,6,1.00,4.19,0.70,5010159894837 ,05010159554700 ,160,20,CLEAN N FRESH POWDER ORANGE 13W - 867G  
CLN&FRSH BIO POWDER                ,745060,867GM ,6,1.00,4.19,0.70,5010159894356 ,05010159554144 ,160,20,CLN&FRSH BIO POWDER - 867GM 
CLN&FRSH BLEACH CITRUS 2L             ,347504,2LTR  ,6,1.09,4.39,0.73,5010159030303 ,05010159153408 ,65,13,CLN&FRSH BLEACH CITRUS 2L - 2LTR  
CLN&FRSH BLEACH CITRUS 750ML             ,347490,750ML ,12,0.50,4.09,0.34,5010159030297 ,05010159153392 ,90,18,CLN&FRSH BLEACH CITRUS 750ML - 750ML 
CLN&FRSH BLEACH FRESH 2L            ,307106,2LTR  ,6,1.09,4.39,0.73,5010159030242 ,05010159153316 ,65,13,CLN&FRSH BLEACH FRESH 2L - 2LTR  
CLN&FRSH BLEACH FRESH 750ML     ,205572,750ML ,12,0.50,4.09,0.34,5010159030211 ,05010159153071 ,90,18,CLN&FRSH BLEACH FRESH 750ML - 750ML 
CLN&FRSH BLEACH ORIGINAL 2L          ,258736,2LTR  ,6,1.09,4.39,0.73,5010159030228 ,05010159153163 ,65,13,CLN&FRSH BLEACH ORIGINAL 2L - 2LTR  
CLN&FRSH BLEACH ORIGINAL           ,198295,750ML ,12,0.50,4.09,0.34,5010159030204 ,05010159153064 ,90,15,CLN&FRSH BLEACH ORIGINAL - 750ML 
CLN&FRSH D/WASH CLN A/BAC          ,957871,250ML ,10,1.00,6.69,0.67,5010159013375 ,05010159553208 ,273,39,CLN&FRSH D/WASH CLN A/BAC - 250ML 
CLN&FRSH DISH TABS ORIG5IN1        ,797178,15S   ,8,1.00,5.39,0.67,5010159013092 ,05010159053791 ,190,19,CLN&FRSH DISH TABS ORIG5IN1 - 15S   
CLN&FRSH RINSE AID                 ,900276,500ML ,12,1.00,7.15,0.60,5010159013368 ,05010159053999 ,100,20,CLN&FRSH RINSE AID - 500ML 
COLGATE T/P ADV WHITENING          ,575235,100ML ,12,1.00,6.95,0.58,6001067020714 ,06001067520719 ,144,36,COLGATE T/P ADV WHITENING - 100ML 
COLGATE T/P HERBAL+25%EXT FREE     ,138059,100ML ,12,0.79,5.99,0.50,6001067023869 ,6001067523864  ,288,48,COLGATE T/P HERBAL+25%EXT FREE - 100ML 
COLGATE T/P MAX CAVITY + 25ML FREE ,204123,125ML ,12,1.00,6.59,0.55,8850006324899 ,8850006919224  ,384,48,COLGATE T/P MAX CAVITY + 25ML FREE - 125ML 
COMFORT BLUE 14WASH                ,159807,490ML ,10,1.00,7.29,0.73,8711600839632 ,08712561448741 ,140,20,COMFORT BLUE 14WASH - 490ML 
COMFORT PURE                       ,192956,5LTR  ,2,4.99,6.59,3.30,7615400720804 ,7615400720798  ,100,20,COMFORT PURE - 5LTR  
COMFORT PURE 14WASH                ,159815,490ML ,10,1.00,7.29,0.73,8712561448819 ,08712561448826 ,140,20,COMFORT PURE 14WASH - 490ML 
CUSSONS PURE S/CRM CREAMY HYDRATE  ,122573,500ML ,6,1.00,3.99,0.67,5000101117664 ,05000101117640 ,184,46,CUSSONS PURE S/CRM CREAMY HYDRATE - 500ML 
CUSSONS PURE S/GEL WILD FRUIT BURST,121814,500ML ,6,1.00,3.99,0.67,5000101117749 ,05000101117725 ,184,46,CUSSONS PURE S/GEL WILD FRUIT BURST - 500ML 
CUSSONS PURE S/GEL ZINGY BURST     ,121848,500ML ,6,1.00,3.99,0.67,5000101118036 ,05000101118012 ,184,46,CUSSONS PURE S/GEL ZINGY BURST - 500ML 
CYCLAX ALOE VERA POT               ,400424,300ML ,6,1.00,3.99,0.67,5000444014903 ,05000444103447 ,330,22,CYCLAX ALOE VERA POT - 300ML 
CYCLAX COCOA BUTTER POT            ,400397,300ML ,6,1.00,3.99,0.67,5000444014880 ,05000444103423 ,330,22,CYCLAX COCOA BUTTER POT - 300ML 
CYCLAX EVE PRIMROSE POT            ,400430,300ML ,6,1.00,3.99,0.67,5000444014873 ,05000444103416 ,330,22,CYCLAX EVE PRIMROSE POT - 300ML 
CYCLAX GREEN TEA POT               ,679821,300ML ,6,1.00,3.99,0.67,5000444018352 ,05000444107575 ,330,22,CYCLAX GREEN TEA POT - 300ML 
CYCLAX LAVENDER MASSAGE POT        ,488686,300ML ,6,1.00,3.99,0.67,5000444015160 ,05000444103652 ,330,22,CYCLAX LAVENDER MASSAGE POT - 300ML 
CYCLAX VITAMIN E POT               ,400401,300ML ,6,1.00,3.99,0.67,5000444014897 ,A0500044410343 ,330,22,CYCLAX VITAMIN E POT - 300ML 
DENTIMINT MOUTHWASH FRESH MINT     ,158180,500ML ,6,0.79,2.85,0.48,5010159894745 ,05010159554588 ,210,42,DENTIMINT MOUTHWASH FRESH MINT - 500ML 
DENTIMINT MOUTHWASH MILD MINT      ,158172,500ML ,6,0.79,2.85,0.48,5010159894738 ,05010159554571 ,210,42,DENTIMINT MOUTHWASH MILD MINT - 500ML 
DETTOL WIPES A/BAC                 ,973116,20s   ,10,1.00,6.60,0.66,5011417554975 ,05011417764251 ,196,49,DETTOL WIPES A/BAC - 20s   
DISH CLOTHS PREMIUM LARGE 5PK      ,783995,PRE116,12,1.00,6.96,0.58,5050895080699 ,5050895080705  ,120,40,DISH CLOTHS PREMIUM LARGE 5PK - PRE116
DOVE COND COLOUR RADIANCE          ,923749,200ML ,6,1.39,5.29,0.88,8718114627274 ,08718114627281 ,464,58,DOVE COND COLOUR RADIANCE - 200ML 
DOVE COND INTENSE REPAIR           ,923731,200ML ,6,1.39,5.29,0.88,8718114627007 ,08718114627014 ,464,58,DOVE COND INTENSE REPAIR - 200ML 
DOVE SPOO COLOUR RADIANCE          ,923715,250ML ,6,1.39,5.29,0.88,8718114560939 ,08712561858168 ,265,53,DOVE SPOO COLOUR RADIANCE - 250ML 
DOVE SPOO DAILY  2IN1              ,923723,250ML ,6,1.39,5.29,0.88,8718114561561 ,08712561858175 ,265,53,DOVE SPOO DAILY 2IN1 - 250ML 
DOVE SPOO INTENSE REPAIR           ,923707,250ML ,6,1.39,5.29,0.88,8718114621371 ,08718114621388 ,265,53,DOVE SPOO INTENSE REPAIR - 250ML 
DR JOHNSON A/SEPTIC LIQUID         ,047343,500ML ,12,0.49,3.99,0.33,5025416330027 ,5025416331024  ,140,20,DR JOHNSON A/SEPTIC LIQUID - 500ML 
DR JOHNSON STERILISE FLUID         ,046743,LTR   ,12,1.00,7.35,0.61,5025416330034 ,5025416331031  ,55,11,DR JOHNSON STERILISE FLUID - LTR   
DRI PAK WASH SODA CRYSTALS         ,058416,1KG   ,12,0.79,5.99,0.50,5011289000297 ,05011289000433 ,140,20,DRI PAK WASH SODA CRYSTALS - 1KG   
EASY SINK/PIPE UNBLOCK CONC        ,717001,1LTR  ,6,1.09,4.35,0.73,5000185110056 ,05000185029464 ,120,24,EASY SINK/PIPE UNBLOCK CONC - 1LTR  
ERASMIC SHAVE FOAM ALOE VERA       ,193128,300ML ,6,1.00,3.79,0.63,5060128981846 ,15060128981843 ,290,58,ERASMIC SHAVE FOAM ALOE VERA - 300ML 
ERASMIC SHAVE FOAM ORIGINAL        ,193110,300ML ,6,1.00,3.79,0.63,5060128981839 ,15060128981836 ,290,58,ERASMIC SHAVE FOAM ORIGINAL - 300ML 
ESSENTIALS AMMONIA LIQ 50% EX FREE ,205197,750ML ,6,0.79,2.99,0.50,5011962114686 ,5011962864116  ,150,30,ESSENTIALS AMMONIA LIQ 50% EX FREE - 750ML 
ESSENTIALS CAUSTIC SODA 25% EX FREE,205204,625G  ,6,1.09,4.39,0.73,5011962540072 ,5011962700452  ,180,36,ESSENTIALS CAUSTIC SODA 25% EX FREE - 625G  
FINISH P/BALL CLASSIC              ,919110,90S   ,4,7.99,21.99,5.50,5701092105042 ,05701092410818 ,36,12,FINISH P/BALL CLASSIC - 90S   
FIRE LIGHTERS FLAMEFAST            ,849490,15S   ,28,0.49,8.99,0.32,5022704000013 ,05022704028000 ,90,18,FIRE LIGHTERS FLAMEFAST - 15S   
FLOWERSHOP A/F BERRIES+30%         ,272087,300ML ,12,0.59,4.29,0.36,5012233066550 ,5012233004323  ,155,31,FLOWERSHOP A/F BERRIES+30% - 300ML 
FLOWERSHOP A/F S/WOOD+30%          ,272108,300ML ,12,0.59,4.29,0.36,5012233010218 ,5012233016210  ,155,31,FLOWERSHOP A/F S/WOOD+30% - 300ML 
FLOWERSHOP A/TOBACCO+30%           ,213059,300ML ,12,0.55,4.29,0.36,              ,               ,155,31,FLOWERSHOP A/TOBACCO+30% - 300ML 
FLOWERSHOP H/W MANGO TWIN          ,186488,500ML ,6,1.00,4.09,0.68,5012233210304 ,5012233210311  ,108,18,FLOWERSHOP H/W MANGO TWIN - 500ML 
FLOWERSHOP H/W PLUM TWIN           ,186496,500ML ,6,1.00,4.09,0.68,5012233210281 ,5012233210298  ,108,18,FLOWERSHOP H/W PLUM TWIN - 500ML 
FLOWERSHOP STRAWBERRY+30%          ,213067,300ML ,12,0.55,4.29,0.36,              ,               ,155,31,FLOWERSHOP STRAWBERRY+30% - 300ML 
GENTELLE ESS GEL EX FIRM HOLD      ,127226,250ML ,12,0.39,3.15,0.26,5010159894561 ,05010159554366 ,210,14,GENTELLE ESS GEL EX FIRM HOLD - 250ML 
GENTELLE ESS GEL FIRM HOLD         ,127193,250ML ,12,0.39,3.15,0.26,5010159894554 ,05010159554359 ,210,14,GENTELLE ESS GEL FIRM HOLD - 250ML 
GENTELLE ESS GEL WET LOOK          ,127234,250ML ,12,0.39,3.15,0.26,5010159894547 ,05010159554342 ,210,14,GENTELLE ESS GEL WET LOOK - 250ML 
GLADE SOLID A/F FROST BERRY KISS   ,206963,6OZ   ,12,1.00,7.69,0.64,046500747373  ,               ,1,1,GLADE SOLID A/F FROST BERRY KISS - 6OZ   
GLADE SOLID LAVENDER GEL           ,774655,      ,8,1.00,5.49,0.69,50204649      ,05000204503883 ,186,31,GLADE SOLID LAVENDER GEL -       
GLADE SOLID LILY GEL               ,275247,      ,8,1.00,5.49,0.69,50204977      ,05000204503821 ,186,31,GLADE SOLID LILY GEL -       
GLADE SOLID MAG&VANILLA GEL        ,275224,      ,8,1.00,5.49,0.69,50204274      ,05000204503838 ,186,31,GLADE SOLID MAG&VANILLA GEL -       
H/CARE HOB BRITE CREAM             ,958663,300ML ,6,1.49,5.49,0.92,5011962117007 ,5011962117601  ,270,54,H/CARE HOB BRITE CREAM - 300ML 
H/CARE SHINY SINKS CRM             ,958639,290ml ,6,1.00,4.19,0.70,5011962116000 ,5011962116604  ,270,54,H/CARE SHINY SINKS CRM - 290ml 
H&S SPOO CLASSIC CLEAN             ,930570,500ML ,6,2.69,10.80,1.80,              ,05410076230075 ,190,38,H&S SPOO CLASSIC CLEAN - 500ML 
HAIR&HEAD SPOO A/DAND ORIG         ,195603,400ML ,12,1.00,6.49,0.54,5012233210526 ,5012233210533  ,138,23,HAIR&HEAD SPOO A/DAND ORIG - 400ML 
HAIR&HEAD SPOO&COND A/DAND         ,195596,400ML ,12,1.00,6.49,0.54,5012233210540 ,5012233210557  ,138,23,HAIR&HEAD SPOO&COND A/DAND - 400ML 
HANKIES LADIES BOXED 3PACK         ,900747,HK040 ,12,1.00,7.20,0.60,5020133160407 ,               ,1,1,HANKIES LADIES BOXED 3PACK - HK040 
HANKIES MENS BOXED 3PK (R)         ,631160,HK011 ,12,0.99,7.60,0.63,5020133160155 ,               ,1,12,HANKIES MENS BOXED 3PK (R) - HK011 
HARRINGTONS METAL POLISH LIQ       ,903684,200ml ,12,1.00,7.99,0.67,5025416220083 ,5025416221080  ,150,25,HARRINGTONS METAL POLISH LIQ - 200ml 
HARRINGTONS METAL POLISH WADD      ,903676,70GM  ,12,1.00,7.69,0.64,5025416220038 ,5025416221035  ,198,18,HARRINGTONS METAL POLISH WADD - 70GM  
I L A/P ORIGINAL                   ,207577,150ML ,6,0.99,3.89,0.65,5000101779046 ,05000101779015 ,640,80,I L A/P ORIGINAL - 150ML 
I L A/P SILK                       ,207583,150ML ,6,0.99,3.89,0.65,5000101778902 ,05000101778971 ,640,80,I L A/P SILK - 150ML 
I L CREME BATH CARING              ,212639,500ML ,6,1.00,3.99,0.67,5000101168581 ,05000101168543 ,220,55,I L CREME BATH CARING - 500ML 
I L CREME BATH SOFTENING           ,706632,500ML ,6,0.99,3.99,0.67,5000101835193 ,05000101835124 ,135,45,I L CREME BATH SOFTENING - 500ML 
I L TALC ORIGINAL                  ,053268,300GM ,6,1.00,4.09,0.68,5000101018145 ,05000101018138 ,145,29,I L TALC ORIGINAL - 300GM 
LIQ POWER SINK/DRAIN               ,299060,1000g ,12,1.00,7.69,0.64,5025416770014 ,5025416777013  ,66,11,LIQ POWER SINK/DRAIN - 1000g 
LUX SOAP PEACH & CREAM 4PK         ,205171,110G  ,24,1.19,19.20,0.80,8717278896021 ,18717278896042 ,60,12,LUX SOAP PEACH & CREAM 4PK - 110G  
MORNING FRESH W/UP ORIG +50%       ,794265,450ML ,16,0.79,9.15,0.57,5000101988790 ,05000101988776 ,78,13,MORNING FRESH W/UP ORIG +50% - 450ML 
MORNING FRESH W/UP Z/LEMON+50%     ,841660,450ML ,16,0.79,9.15,0.57,5000101989421 ,05000101989490 ,78,13,MORNING FRESH W/UP Z/LEMON+50% - 450ML 
NAPPY SACKS 250PK                  ,900341,PRE202,24,0.99,11.79,0.49,5050895167635 ,5050895167642  ,50,10,NAPPY SACKS 250PK - PRE202
