DESCRIPTION,CODE,UNIT,PACK,RRP,CASECOST£,Cost,EANCode,OUTERBARCODE,PALLET,LAYER,Name
RADOX SALTS MUSCLE SOAK            ,344895,400GM ,6,1.00,4.19,0.70,5000231036781 ,05000231051043 ,252,36,RADOX SALTS MUSCLE SOAK - 400GM 
RADOX SALTS VAPOUR THERAPY         ,305124,400GM ,6,1.00,4.19,0.70,5000231036767 ,05000231036989 ,252,36,RADOX SALTS VAPOUR THERAPY - 400GM 
RIGHT GRD A/P LADY U/COOL EXT      ,942864,150ML ,6,1.00,4.39,0.73,5012583202493 ,05012583503170 ,480,80,RIGHT GRD A/P LADY U/COOL EXT - 150ML 
RIGHT GRD DEO MEN STRESS PROOF     ,204272,150ML ,6,1.00,3.95,0.66,4015000992497 ,4053158981734  ,320,1,RIGHT GRD DEO MEN STRESS PROOF - 150ML 
RIGHT GRD DEO SPRAY MEN SPORTS     ,207101,150ML ,6,1.00,3.95,0.66,4015000945028 ,               ,320,1,RIGHT GRD DEO SPRAY MEN SPORTS - 150ML 
SHELLY B/S BLUE HEAVEN             ,583412,75ML  ,12,0.49,3.89,0.32,5012233171896 ,5012233172091  ,760,61,SHELLY B/S BLUE HEAVEN - 75ML  
SHELLY B/S THAI SILK               ,583400,75ML  ,12,0.49,3.89,0.32,5012233171858 ,5012233172053  ,760,61,SHELLY B/S THAI SILK - 75ML  
SOFT & GENTLE R/ON LAV&PATCHOULI   ,161117,50ML  ,6,1.00,3.99,0.67,80218753      ,08714789570587 ,472,59,SOFT & GENTLE R/ON LAV&PATCHOULI - 50ML  
SOFT MANSIZE 2PLY TISSUES          ,875883,100S  ,24,0.79,11.85,0.49,5017289004501 ,05017289455013 ,25,5,SOFT MANSIZE 2PLY TISSUES - 100S  
SOFTQUILT 3PLY WHITE/BLUE          ,102749,4PK   ,10,1.00,6.99,0.70,5060043670955 ,05060043670986 ,25,5,SOFTQUILT 3PLY WHITE/BLUE - 4PK   
STARDROPS WHITE VINEGAR            ,119447,750ML ,12,0.79,5.85,0.49,5060033824054 ,05060033825044 ,70,14,STARDROPS WHITE VINEGAR - 750ML 
SUPERDENT TABLETS                  ,060150,30S   ,12,0.79,6.69,0.56,5000146045472 ,05000146065500 ,360,52,SUPERDENT TABLETS - 30S   
SWIRL DRYER SHEETS 25%EX           ,666555,45S   ,6,0.99,3.45,0.58,5020535004156 ,05020535004163 ,300,25,SWIRL DRYER SHEETS 25%EX - 45S   
TISSUES CHERISH BOUTIQUE           ,028158,70S   ,24,0.49,7.89,0.33,5017289002606 ,05017289002408 ,40,8,TISSUES CHERISH BOUTIQUE - 70S   
TUSK B/S FIRE FLY                  ,353406,150ML ,12,0.59,4.29,0.36,5028748204301 ,5028748204318  ,320,32,TUSK B/S FIRE FLY - 150ML 
TUSK B/S HUNTER                    ,200894,150ML ,12,0.59,4.29,0.36,5028748000040 ,5028748100047  ,320,32,TUSK B/S HUNTER - 150ML 
TUSK B/S RAVAGE                    ,694390,150ML ,12,0.59,4.29,0.36,5028748008190 ,5028748008251  ,320,32,TUSK B/S RAVAGE - 150ML 
TUSK B/S SAFARI                    ,201101,150ML ,12,0.59,4.29,0.36,5028748000033 ,5028748100030  ,320,32,TUSK B/S SAFARI - 150ML 
VIM SCOUR POWDER                   ,063616,500GM ,8,0.79,3.99,0.50,5060002361559 ,15060002361556 ,140,28,VIM SCOUR POWDER - 500GM 
ZAZIE NAIL POLISH REMOVER          ,727323,250ML ,12,0.79,5.39,0.45,5037741980013 ,05037741980013 ,210,35,ZAZIE NAIL POLISH REMOVER - 250ML 
ZOFLORA ASSTD A                    ,070617,56ML  ,12,0.75,5.85,0.49,5011309300512 ,05011309300123 ,364,52,ZOFLORA ASSTD A - 56ML  
ZOFLORA ASSTD D                    ,548759,56ML  ,12,0.75,5.85,0.49,5011309300918 ,05011309300222 ,364,52,ZOFLORA ASSTD D - 56ML  
