CODE,DESCRIPTION,QTY,Price,BARCODES,Discount%,DiscountVal,PricePaid,SuggestedRetail,Weight,Length,Width,Height,ActualPrice,Ready?
G4019,Butterflies and Blooms 636pc,,4.85,5012269040197,15.00%,0.7275,4.1225,8.245,600,412,215,55,8.99,OK
G4021,The Dambusters 636pc,,4.85,5012269040210,15.00%,0.7275,4.1225,8.245,600,412,215,55,8.99,OK
G4024,Arrival at Temple Meads 636pc,,4.85,5012269040241,15.00%,0.7275,4.1225,8.245,600,412,215,55,8.99,OK
G4027,Come for a Ride 636pc,,4.85,5012269040272,15.00%,0.7275,4.1225,8.245,600,412,215,55,8.99,OK
G4028,Final Whistle 636pc,,4.85,5012269040289,15.00%,0.7275,4.1225,8.245,600,412,215,55,8.99,OK
G4029,Country Companions 636pc,,4.85,5012269040296,15.00%,0.7275,4.1225,8.245,600,412,215,55,8.99,OK
G4030,Sunshine & Steam 636pc,,4.85,5012269040302,15.00%,0.7275,4.1225,8.245,600,412,215,55,8.99,OK
G4031,Seaside Train 636pc,,4.85,5012269040319,15.00%,0.7275,4.1225,8.245,600,412,215,55,8.99,OK
G4032,Under the Clock 636pc,,4.85,5012269040326,15.00%,0.7275,4.1225,8.245,600,412,215,55,8.99,OK
G4033,Weymouth 636pc,,4.85,5012269040333,15.00%,0.7275,4.1225,8.245,600,412,215,55,8.99,OK
G4034,Riverside Festival 636pc,,4.85,5012269040340,15.00%,0.7275,4.1225,8.245,600,412,215,55,8.99,OK
G3505,Puppies will be Puppies 500XXL,,6.2,5012269035056,15.00%,0.93,5.27,10.54,850,295,415,52,10.99,OK
G3509,A Fine View 500XXL,,6.2,5012269035094,15.00%,0.93,5.27,10.54,850,295,415,52,10.99,OK
G3510,The Airshow 500XXL,,6.2,5012269035100,15.00%,0.93,5.27,10.54,850,295,415,52,10.99,OK
G3511,Home Sweet Home 500XXL,,6.2,5012269035117,15.00%,0.93,5.27,10.54,850,295,415,52,10.99,OK
G3512,Beads & Buttons 500XXL,,6.2,5012269035124,15.00%,0.93,5.27,10.54,850,295,415,52,10.99,OK
