StockCode,Description,Barcode,Cases,InnerQty,CaseQty,Total Qty,Required Date,Expected Month,Price,Line Total,InnerBarcode,OuterBarcode
3251/96,Reporter Notepad 160 Pages,5013922032511,1,12,96,96,13/01/16,13/01/16,0.25,24,5013922132518,5013922832517
3254/72,100 Sheet Lined Duke Pad,5013922032542,1,12,72,72,13/01/16,13/01/16,0.26,18.72,5013922132549,5013922832548
3255/72,100 Sheet Plain Duke Pad,5013922032559,1,12,72,72,13/01/16,13/01/16,0.26,18.72,5013922132556,5013922832555
3248,6 Exercise Books  48 Pages,5013922032481,1,6,72,72,13/01/16,13/01/16,0.46,33.12,5013922132488,5013922832487
4146/48,A4 White Copy Paper 75 Sheets,5013922041469,1,12,48,48,13/01/16,13/01/16,0.48,23.04,5013922141466,5013922841465
4061/48,Invoice Book,5013922040615,1,12,48,48,13/01/16,13/01/16,0.5,24,5013922140612,5013922840611
4055,80 Clear plastic Punched pockets,5013922040554,1,5,30,30,13/01/16,13/01/16,0.95,28.5,5013922140551,5013922840550
6026/72,4 A4 Polyfile Plastic Wallet,5013922060262,1,12,72,72,13/01/16,13/01/16,0.48,34.56,5013922160269,5013922860268
4051/72,10 A4 Index Dividers Paper,5013922040516,1,12,72,72,13/01/16,13/01/16,0.27,19.44,5013922140513,5013922840512
4059/72,20 A-Z A4 Index Divider- Paper,5013922040592,1,12,72,72,13/01/16,13/01/16,0.45,32.4,5013922140599,5013922840598
6028,6 A5 Polyfile Plastic Wallets,5013922060286,1,12,72,72,13/01/16,13/01/16,0.48,34.56,5013922160283,5013922860282
6060,Vinyl Clipboard & Cover 4 Colours,5013922060606,1,12,48,48,13/01/16,13/01/16,0.5,24,5013922160603,5013922860602
5922,20 A4 Laminating Pouches,5013922059228,1,12,48,48,13/01/16,13/01/16,1.2,57.6,5013922159225,5013922859224
6038,Clear Book Cover 450 X 1000mm,5013922060385,1,24,48,48,13/01/16,13/01/16,0.45,21.6,5013922160382,5013922860381
4247,12 E Mailer Bags Small 160 x 230mm,5013922042473,1,12,72,72,13/01/16,13/01/16,0.48,34.56,5013922142470,5013922842479
4246/48,8 Board Envelopes 175X250MM,5013922042466,1,12,48,48,13/01/16,13/01/16,0.45,21.6,5013922142463,5013922842462
4672,30 C5 White peal & seal Envelopes,5013922046723,1,10,80,80,13/01/16,13/01/16,0.46,36.8,5013922146720,5013922846729
4674,50 DL White peal & seal Envelopes,5013922046747,1,12,72,72,13/01/16,13/01/16,0.46,33.12,5013922146744,5013922846743
4678,50 C6 White peal & seal Envelopes,5013922046785,1,12,72,72,13/01/16,13/01/16,0.46,33.12,5013922146782,5013922846781
4680,50 Duke White peal & seal Envelopes,5013922046808,1,12,72,72,13/01/16,13/01/16,0.46,33.12,5013922146805,5013922846804
4673,30 C5 Manila peal & seal Envelopes,5013922046730,1,10,80,80,13/01/16,13/01/16,0.46,36.8,5013922146737,5013922846736
5159,60m Ball of Green Garden String,5013922051598,1,12,48,48,13/01/16,13/01/16,0.48,23.04,5013922151595,5013922851594
4251/48,100 Money Wallets 70 x 105mm,5013922042510,1,12,48,48,13/01/16,13/01/16,0.48,23.04,5013922142517,5013922842516
4250/48,80 Wage Packets 100 x 110 mm,5013922042503,1,12,48,48,13/01/16,13/01/16,0.48,23.04,5013922142500,5013922842509
6142,Bubble Wrap 4Mtr X 300mm,5013922061429,1,1,40,40,13/01/16,13/01/16,0.48,19.2,5013922161426,5013922861425
4069/96,Receipt Book,5013922040691,1,12,96,96,13/01/16,13/01/16,0.28,26.88,5013922140698,5013922840697
4097,8 Large Sq Note Cards Cats/Dogs,5013922040974,1,12,72,72,13/01/16,13/01/16,0.45,32.4,5013922140971,5013922840970
6134,Pocket Address Book In CDU. 4 Assorted Design,5013922061344,1,24,48,48,13/01/16,13/01/16,0.38,18.24,5013922161341,5013922861340
6136,A5 Address Book in CDU. 4 Assorted Designs,5013922061368,1,12,48,48,13/01/16,13/01/16,0.78,37.44,5013922161365,5013922861364
6135,Slim Address Book in CDU. 4 Assorted Designs,5013922061351,1,24,48,48,13/01/16,13/01/16,0.48,23.04,5013922161358,5013922861357
6845,Colouring Book series one,5013922068459,1,12,48,48,13/01/16,13/01/16,0.5,24,5013922168456,5013922868455
6846,Colouring Book Series two,5013922068466,2,12,48,96,13/01/16,13/01/16,0.48,46.08,5013922168463,5013922868462
6844,Travel Colouring Set,5013922068442,1,6,24,24,13/01/16,13/01/16,0.95,22.8,5013922168449,5013922868448
