PRODUCT,INNER,OUTER,DESCRIPTION,CARTONS ORDERED,PCS ORDERED,BARCODE,PIECEPRICE,TOTAL PRICE,STOCK STATUS
CR0420,6,96,12X7 PK8 2LAYER BUTRFLY STICKR,1,96,5024418730248,0.60,57.60,14/09/2015
ST4633,12,96,ADHSV BLOSSOM CHIPBRD-4AST,1,96,5024418406112,0.48,46.08,Picked
ST7019,12,72,VINTAGE CRAFT PK75 MINI PEGS,1,72,5024418793007,0.55,39.60,08/08/2015
CR0162,24,72,PK5 WHT A3 CRAFT CARD 300GSM,1,72,5024418677444,0.50,36.00,14/08/2015
CR0133,12,72,PK2 1.5M RIBBON + PEGS&BUTTONS,1,72,5024418677000,0.55,39.60,Picked
CR0256,12,72,11X9 PK30 WDN CRAFT BUTTONS-2A,1,72,5024418684183,0.50,36.00,Picked
CR0940,12,72,10PC CRAFTING FLAGS,1,72,5024418100379,0.50,36.00,27/09/2015
CR0925,48,144,2M SPOT & STAR RIBBON,1,144,5024418991373,0.50,72.00,04/11/2015
CR0726,12,72,1X2CM BUNTING EMBELLISHMENTS,1,72,5024418850137,0.50,36.00,Picked
GB4712,1,8,35X27 JUNGLE S6 GIFTBOXES,1,8,5024418714170,9.75,78.00,Picked
CR0740,12,72,9X17CM PK9 CRAFT TAGS,1,72,5024418869894,0.50,36.00,Picked
CR0452,12,72,21X10.5 PK9 PRINTED FLORAL TAG,1,72,5024418731641,0.50,36.00,Picked
CR0650,12,72,10X13 CRAFTING BUNTING,1,72,5024418807483,0.50,36.00,Picked
CR0702,12,72,3M MINI BUNTING BANNER,1,72,5024418849179,0.50,36.00,Picked
CR0899,12,72,2 ASSORTED PK30 GIFT TAGS,1,72,5024418986355,0.50,36.00,18/10/2015
CR0271,48,144,3M FRAY EDGE WEBBING RIBBON,1,144,5024418684589,0.50,72.00,Picked
ST4081A,12,72,48CM X 1.5M NATURAL ORGANZ.ROLL-6 ASST,1,72,5024418505402,0.50,36.00,18/08/2015
ST3090B,12,72,2 CRAFT DIY BAGS-NAT/MULTI COL,1,72,5024418319184,0.25,18.00,Picked
CR0939,12,72,19X7.5 PK4 MINI CRAFT GIFT BAG,1,72,5024418100348,0.50,36.00,20/10/2015
ST1637B,12,72,ORIGAMI PAPER SET 70 SHEETS,1,72,5024418612704,0.55,39.60,Picked
CR0715,12,48,45X50CM FLORAL CRAFT SHEETS,1,48,5024418849797,1.10,52.80,Picked
CR0949,12,72,2M CRAFT GLITTER TAPE- GLD/SIL,1,72,5024418817451,0.50,36.00,20/10/2015
CR0950,12,72,2M CRAFTING GLITTER TAPES,1,72,5024418817468,0.50,36.00,20/10/2015
CR0937,24,72,270CM CRAFT SEQUIN RIBBON,1,72,5024418996354,0.50,36.00,19/09/2015
ST1480,8,48,24 ORGANZA SHTS-A5- 2AST,1,48,5024418055877,1.00,48.00,Picked
CR0792,12,72,150X28 CRAFT GLITTER ROLL,1,72,5024418942719,0.50,36.00,19/09/2015
EA0098,12,48,8M WOODEN EMBELLISHED RIBBON,1,48,5024418816133,1.00,48.00,TBC
XCR0004,48,144,2M 3 ASSORTED GLITTER RIBBON,1,144,5024418869900,0.50,72.00,29/07/2015
XCR0031,12,72,2AST PACK 3 - 2M WRAPPING TAPE,1,72,5024418872443,0.50,36.00,In Stock
CR0546,12,48,50CM:L CRAFTING LACE,1,48,5024418780243,1.00,48.00,09/09/2015
CR0741,48,144,2M VELVET RIBBON,1,144,5024418869948,0.50,72.00,Picked
GS0095,24,96,7X8 CORK TOP STORGEJAR +SPOON,1,96,5024418816812,0.55,52.80,Picked
HH4074,12,72,20X15CM 5PC TRAVEL BOTTLE SET,1,72,5024418465348,0.55,39.60,Picked
HH5094B,12,72,PK10 WOODEN DOLLY PEGS,1,72,5024418858638,0.55,39.60,Picked
HH0104A,12,144,MENS SUIT BAG,1,144,5024418362029,0.40,57.60,Picked
HH0107A,12,144,LADIES DRESS BAG,1,144,5024418362036,0.50,72.00,15/10/2015
HH1047D,12,72,PK4 ADULT HANGERS-3AST,1,72,5024418601814,0.55,39.60,Picked
ST5038,12,144,3 ASSORTED COLOUR DOTS,1,144,5024418401698,0.25,36.00,TBC
ST3162B,12,72,WHITE 5 CARDS/ENVELOPES,1,72,5024418319153,0.55,39.60,14/08/2015
CR0079,12,72,30CM CHALKBOARD ARROWS,1,72,5024418922162,0.50,36.00,Picked
ST6013A,12,72,PK5 GOLD/SILVER A5 CDS/ENVELOPES,1,72,5024418668466,0.50,36.00,Picked
ST6012A,12,72,PK5 WHITE A6 CARDS & ENVELOPES,1,72,5024418728177,0.50,36.00,Picked
ST6014,12,72,PK6 COL. A6 CARD AND ENVELOPE,1,72,5024418509592,0.48,34.56,Picked
