ProductCode,Description,Barcode
KC600/293,60CM ROUND BROWN SHOE LACES(2),5412463209008
KC600/310,60CM ROUND BLACK SHOE LACES(2),5412463209015
KC601/293,90CM FLAT BROWN SHOE LACES(2),5412463209022
KC601/310,90CM FLAT BLACK SHOE LACES(2),5412463209039
KC602/293,90CM ROUND BROWN SHOE LACES(2),5412463209046
KC602/310,90CM ROUND BLACK SHOE LACES(2),5412463209053
KC603/101,120CM FLAT WHITE 1 PAIR (2),5412463209060
KC604/310,150CM FLAT BLACK 1PAIR (2),5412463209077
KC605/310,SHOE LACES 60CM FLAT BLACK,5412464108409
KC605/293,SHOE LACES 60CM FLAT BROWN,5412464108423
KC300/854,IRON ON MENDER-JEANS,5412464108676
KC1100/101,CROCHET COTTON - WHITE,5412464108744
KC1100/296,CROCHET COTTON - ECRU,5412464108768
KC800,NEEDLE BAG,5412463003552
KC801,KNITTING/SEWING BAG,5412463030374
