Code,Description,Barcode,Cases,InnerQ,OuterQ,Total Qty,Required Date,Expected Month,Price,Line Total,InnerB,OuterB
4221,4 Bubble Env Size E 220 x 265,5013922042213,1,1,30,30,02/04/14,02/04/14,0.45,13.5,5013922142210,5013922842219
4220,4 Bubble Env Size D 180 x 265,5013922042206,1,1,30,30,02/04/14,02/04/14,0.45,13.5,5013922142203,5013922842202
4222,3 Bubble Env Size F 220 x 335,5013922042220,1,1,40,40,02/04/14,02/04/14,0.45,18,5013922142227,5013922842226
4246/48,8 Board Envelopes 175X250MM,5013922042466,1,12,48,48,02/04/14,02/04/14,0.45,21.6,5013922142463,5013922842462
5790,Tri Cut Bunting Princess Design,5013922057903,1,12,48,48,02/04/14,02/04/14,0.48,23.04,5013922157900,5013922857903
5793,10 Invitations Cards Princess Design,5013922057934,1,12,48,48,02/04/14,02/04/14,0.48,23.04,5013922157931,5013922857930
6142,Bubble Wrap 4Mtr X 300mm,5013922061429,1,1,40,40,02/04/14,02/04/14,0.48,19.2,5013922161426,5013922861425
1277,4m x 70cm Parcel/Kraft wrap,5013922012773,1,36,72,72,02/04/14,02/04/14,0.36,25.92,5013922112770,5013922812779
4252/72,48 Post Cards 140 x 100,5013922042527,1,12,72,72,02/04/14,02/04/14,0.28,20.16,5013922142524,5013922842523
4288,Cork Board 400 x 600mm,5013922042886,1,4,20,20,02/04/14,02/04/14,1.8,36,5013922142883,5013922842882
6166/48,Scissors 8.5 Multi Purpose,5013922061665,1,12,48,48,02/04/14,02/04/14,0.48,23.04,5013922161662,5013922861661
6330,Dual Magnifying glass Set,5013922063300,1,12,72,72,02/04/14,02/04/14,0.46,33.12,5013922163307,5013922863306
6198,A4 Twin Wiro Notebook,5013922061986,2,6,24,48,02/04/14,02/04/14,1.1,52.8,5013922161983,5013922861982
6199,A5 Twin Wiro Notebook,5013922061993,2,6,48,96,02/04/14,02/04/14,0.6,57.6,5013922161990,5013922861999
6200,A4 80 Sheet Refill Pad,5013922062006,2,6,36,72,02/04/14,02/04/14,0.75,54,5013922162003,5013922862002
9291,20cm Glow Sticks x 15,5013922092911,1,24,144,144,02/04/14,02/04/14,0.45,64.8,5013922192918,5013922892917
9281,Magic Bubbles 60ml,5013922092812,1,24,96,96,02/04/14,02/04/14,0.12,11.52,5013922192819,5013922892818
5927,Memo Stickers - 200 by 75mm square,5013922059273,1,12,72,72,02/04/14,02/04/14,0.48,34.56,5013922159270,5013922859279
5159,60m Ball of Green Garden String,5013922051598,1,12,48,48,02/04/14,02/04/14,0.48,23.04,5013922151595,5013922851594
7661,A5 Soft Touch Notebook Rustic,5013922076614,1,12,48,48,02/04/14,02/04/14,0.98,47.04,5013922176611,5013922876610
6802,A4 Notebook Stripes 120 Pages,5013922068022,1,12,36,36,02/04/14,02/04/14,0.9,32.4,5013922168029,5013922868028
6803,A5 Notebook Stripes 120 Pages,5013922068039,1,12,72,72,02/04/14,02/04/14,0.48,34.56,5013922168036,5013922868035
6801,Slim Notebook Exec Soft Touch 120 page,5013922068015,1,12,72,72,02/04/14,02/04/14,0.45,32.4,5013922168012,5013922868011
