Product Code,Product Description,2014 RRP Exc VAT,2014 RRP INC VAT,BRUSH CODE,MOQ,VAT,Barcode,Notes
RDC0683,Rub Lettering Commercial Script 8 Gold,2.4,2.88,,1,yes,8.01E+11,
SFP1,Safmat Film 10 Sheet,7.92,9.5,,1,yes,8.01E+11,
TRBAR,Tria Marker 12 Set Architecture,37.59,45.11,,1,yes,8.01E+11,
TRBFD,Tria Marker 12 Set Fashion Design,37.59,45.11,,1,yes,8.01E+11,
TRBGB,Tria Marker 12 Set Graphic Brights,37.59,45.11,,1,yes,8.01E+11,
TRBGT,Tria Marker 12 Set Grey Tones,37.59,45.11,,1,yes,8.01E+11,
TRBID,Tria Marker 12 Set Interior Design,37.59,45.11,,1,yes,8.01E+11,
TRBPD,Tria Marker 12 Set Product Design,37.59,45.11,,1,yes,8.01E+11,
TRCARCH,Tria Marker 24 Set Architecture,77.44,92.93,,1,yes,8.01E+11,
TRCFASH,Tria Marker 24 Set Fashion Design,77.44,92.93,,1,yes,8.01E+11,
TRCILLU,Tria Marker 24 Set Illustration,77.44,92.93,,1,yes,8.01E+11,
TRCINTE,Tria Marker 24 Set Interior Design,77.44,92.93,,1,yes,8.01E+11,
TRCMANG,Tria Marker 24 Set Manga and Comic,77.44,92.93,,1,yes,8.01E+11,
TRCPROD,Tria Marker 24 Set Product Design,77.44,92.93,,1,yes,8.01E+11,
TRCVISU,Tria Marker 24 Set Visualisation,77.44,92.93,,1,yes,8.01E+11,
TRO1,Letraset Marker Organiser,5.81,6.97,,1,yes,8.01E+11,
WM1,WF Watch Me Draw FavePet,3.99,3.99,,1,no,9.78E+12,
WM2,WF Watch Me Draw Dolphin,3.99,3.99,,1,no,9.78E+12,
WM3,WF Watch Me Draw Girl,3.99,3.99,,1,no,50283112037,
WM4,WF Watch Me Draw Dinosau,3.99,3.99,,1,no,9.78E+12,
WM5,WF Watch Me Draw Space,3.99,3.99,,1,no,9.78E+12,
WM6,WF Watch Me Draw The Zoo,3.99,3.99,,1,no,9.78E+12,
WM9,WF Watch Me Draw Monster,3.99,3.99,,1,no,50283112099,
