Line,Code,Description,Ordered,OrderedOut,Price,Value,CBM,Weight,EANBarcode,ITFBarcode,Outer,Inner,Pallets,VAT
38,PTRY,"ACT, PAINT TRAY AND ACCESSORIES",24,1,0.52,12.48,0.0221,1.60,5012128511301,05024004841686,24,0,0.01,2.5
39,DEPE,"STAT, 5 DOUBLE ENDED MARKERS",24,1,0.52,12.48,0.0087,1.94,5012128501753,05024004826683,24,12,0.00,2.5
40,BRAD,"ACT, MYO WOODEN BEAD JEWELLERY SET",36,1,0.52,18.72,0.0100,1.78,5012128484643,05024004798409,36,12,0.01,3.74
41,NERB/1,"STAT,BLOK RINGBINDER",40,1,0.52,20.80,0.0521,10.94,5012128462740,05024004760376,40,0,0.04,4.16
42,BLOO,"STAT,BLOK CURVED LEVER ARCH",24,1,1.55,37.20,0.0943,10.08,5012128485602,05024004800300,24,0,0.11,7.44
43,SOAK,"STAT, BLOK SOFT FEEL STAPLER",24,1,1.25,30.00,0.0156,4.38,5012128462771,05024004760437,24,12,0.01,6
44,SOAP,"STAT, BLOK SOFT FEEL PEN POT",24,1,0.58,13.92,0.0218,2.65,5012128462818,05024004760512,24,6,0.02,2.78
45,SOAO,"STAT, BLOK SOFT TAPE DISPENSER TAPE",24,1,0.95,22.80,0.0120,6.56,5012128462795,05024004760475,24,12,0.01,4.56
46,SOAJ,"STAT, BLOK MINI STATIONERY SET",24,1,1.00,24.00,0.0138,3.22,5012128462764,05024004760413,24,6,0.01,4.8
47,SOAU/1,"STAT,BLOK POCKET CALCULATOR (3 CLRS)",24,1,0.58,13.92,0.0081,1.76,5012128467325,05024004767986,24,12,0.01,2.78
48,SOAG/2,"STAT,BLOK 3 BRIGHT BARREL PENS",24,1,0.52,12.48,0.0155,1.62,5012128462733,05024004760352,24,12,0.01,2.5
49,BLOH,"STAT,BLOK 8PK PENCILS",24,1,0.50,12.00,0.0047,1.26,5012128485640,05024004800362,24,12,0.00,2.4
50,STNO/2,"STAT, STATIC NOTES",24,1,0.52,12.48,0.0003,2.02,5012128517174,05024004852453,24,12,0.01,2.5
51,STNN,"STAT,BLOK SHAPED STATIC NOTES",24,1,0.52,12.48,0.0051,1.00,5012128483530,05024004796245,24,12,0.00,2.5
52,SOAQ,"STAT,BLOK 30CM RULER",24,1,0.37,8.88,0.0019,0.90,5012128462825,05024004760536,24,0,0.00,1.78
