Line,Code,Description,Ordered,OrderedOut,Price,Value,CBM,Weight,EANBarcode,ITFBarcode,Outer,Inner,Pallets,VAT
169,STTT/3,"STAT,BLACK STAPLER IN PP BOX",48,1,1.20,57.60,0.0249,12.60,5012128385001,05024004638125,48,24,0.02,11.52
170,PLSE,"ACT, PK 15 PLAIN SHAPED CARDS CDU",12,1,0.50,6.00,0.0052,1.18,5012128447495,05024004737576,12,0,0.00,1.2
,PLSE,"ACT, PK 15 PLAIN SHAPED CARDS CDU",12,1,0.50,6.00,0.0052,1.18,5012128449659,05024004737576,12,0,0.00,1.2
171,BQV/2,"STAT,40M BINGO MARKER (CDU)",48,1,0.28,13.44,0.0116,2.68,5012128064333,05024004064337,48,24,0.01,2.69
172,EI24H,ALB - SELF ADHESIVE 20 SHEETS,24,1,1.90,45.60,0.0443,17.60,5012128005091,05024004005095,24,0,0.04,9.12
173,MA18,ALB - SELF ADHESIVE 36 SHEETS,18,1,2.45,44.10,0.0445,15.15,5012128013010,05024004013014,18,0,0.04,8.82
174,LK12/1,ALB - SELF ADHESIVE 40 SHEETS,12,1,3.45,41.40,0.0418,11.95,5012128012112,05024004535189,12,0,0.04,8.28
175,BOPF,ALB - WOODLANDS 4X6INS 80PHTS,12,1,0.75,9.00,0.0132,1.96,5012128495984,05024004818114,12,6,0.01,1.8
176,TRHD/3,ALB - TRAVEL 4X6INS 80 PHOTOS,12,1,0.75,9.00,0.0131,1.94,5012128454301,05024004747230,12,6,0.01,1.8
177,TRFB/4,ALB - TRAVEL 4X6INS 200 PHOTOS,12,2,2.06,24.72,0.0300,8.04,5012128513480,05024004845806,6,0,0.02,4.94
178,TRGC/3,ALB - TRAVEL 5X7INS 104 PHOTOS,12,2,2.15,25.80,0.0342,9.56,5012128454295,05024004747216,6,0,0.03,5.16
179,FREH/3,ALB -BUTTERFLY 4X8INS 80 PHOTOS,12,1,0.75,9.00,0.0117,1.78,5012128513497,05024004845820,12,6,0.00,1.8
180,FRCG/2,ALB - BUTTERFLY 4X6INS 200 PHOTOS,12,2,2.06,24.72,0.0312,9.00,5012128454080,05024004746936,6,0,0.03,4.94
181,FRDF/3,ALB -BUTTERFLY 5X7INS 104 PHOTOS,12,2,2.15,25.80,0.0302,7.88,5012128513503,05024004845844,6,0,0.03,5.16
182,SPYP/2,ALB - SPOT/STRIPE 4X6INS 80 PHOTOS,12,1,0.75,9.00,0.0122,1.78,5012128454264,05024004747155,12,6,0.01,1.8
183,SPYN/3,ALB -SPOT/STRIPE 4X6INS 200 PHOTOS,12,2,2.06,24.72,0.0312,7.92,5012128513510,05024004845868,6,0,0.02,4.94
184,SPYO/2,ALB - SPOT/STRIPE 5X7INS 104 PHOTOS,12,2,2.15,25.80,0.0312,8.52,5012128454257,05024004747131,6,0,0.03,5.16
185,LH/4,FRM - GLASS CLIP A4 CERT 21X29.7CM,48,2,0.65,31.20,0.0604,25.52,5012128012082,05024004073667,24,12,0.07,6.24
186,TJO/2,FRM - STYRENE CLIP 16X23IN (42X59CM),5,1,2.84,14.20,0.0241,5.32,5012128620058,05024004620052,5,0,0.01,2.84
187,TJP/2,FRM - STYRENE CLIP 18X24IN (46X61CMS,5,1,3.05,15.25,0.0276,6.08,5012128620065,05024004620069,5,0,0.02,3.05
188,TJS/2,FRM - STYRENE CLIP 20X30IN (50X76CM),5,1,4.55,22.75,0.0366,7.68,5012128620096,05024004620090,5,0,0.03,4.55
189,GPLT,"PARTY GENERIC - 8 X 9"" PARTY PL",24,1,0.48,11.52,0.0116,3.16,5012128475542,05024004781883,24,12,0.01,2.3
190,GCCP,PARTY GENERIC - 8 X 9OZ PARTY CUPS,24,1,0.42,10.08,0.0268,1.70,5012128475566,05024004781920,24,0,0.03,2.02
191,GBBU,PARTY GENERIC - BANNER PACK,36,1,0.48,17.28,0.0102,3.08,5012128475603,05024004782002,36,12,0.00,3.46
192,FPLT,"PARTY BLOSSOM - 8 X 9"" PARTY PL",24,1,0.48,11.52,0.0137,3.24,5012128484742,05024004798607,24,12,0.01,2.3
193,FCUP,PARTY BLOSSOM - 8 X 9OZ PARTY CUPS,24,1,0.42,10.08,0.0381,2.30,5012128484759,05024004798621,24,12,0.03,2.02
194,FBGX,PARTY TABLE COVER BLOSSOM,24,1,0.53,12.72,0.0049,2.24,5012128484872,05024004798867,24,12,0.00,2.54
195,ZPLT,"PIRATES - 8 X 9"" PAPER PLATES",24,1,0.48,11.52,0.0116,3.16,5012128475177,05024004781227,24,12,0.01,2.3
196,HPLT,"WOODLAND - 8 X 9"" PAPER PLATES",24,1,0.48,11.52,0.0115,3.16,5012128477713,05024004785775,24,12,0.00,2.3
197,HCUP,WOODLAND - 8 X 9OZ PARTY CUPS,24,1,0.42,10.08,0.0268,1.70,5012128477706,05024004785751,24,0,0.02,2.02
198,HLNO,WOODLAND - 12 LOOT BAGS (LARGE),48,1,0.46,22.08,0.0043,1.86,5012128477751,05024004785850,48,12,0.00,4.42
199,HPEP,WOODLAND- 6 PENCILS WITH ERASER TOPS,24,1,0.52,12.48,0.0214,4.32,5012128477829,05024004785997,24,12,0.02,2.5
200,BPLT,"SUPERHERO- 8X9"" PARTY PLATES",24,1,0.48,11.52,0.0084,3.16,5012128477836,05024004786017,24,12,0.00,2.3
201,BCUP,SUPERHERO- 8 X 9OZ PARTY CUPS,24,1,0.42,10.08,0.0268,1.70,5012128477843,05024004786031,24,0,0.02,2.02
202,BTBL,SUPERHERO- PLASTIC TABLE COVER,36,1,0.48,17.28,0.0071,3.24,5012128477867,05024004786079,36,12,0.00,3.46
203,BLNO,SUPERHERO- 12 LOOT BAGS (LARGE),48,1,0.46,22.08,0.0043,1.86,5012128477881,05024004786116,48,12,0.00,4.42
204,BPEP,SUPERHERO- 6 PENCILS WITH ERASER TOP,24,1,0.52,12.48,0.0217,4.56,5012128477959,05024004786253,24,12,0.02,2.5
205,HRWC,SUPERHERO - 6 X WINDOW WALKERS,24,1,0.52,12.48,0.0276,1.92,5012128478758,05024004787717,24,12,0.02,2.5
206,HWIN,PARTY ROSETTE WINNER BAGDE,24,1,0.52,12.48,0.0116,1.04,5012128496639,05024004818855,24,12,0.01,2.5
207,HRYQ,PARTY - 6 X MEDALS,24,1,0.52,12.48,0.0145,1.64,5012128478741,05024004787694,24,12,0.00,2.5
208,HSHY,PARTY - 6 X BOUNCY BALLS,24,1,0.49,11.76,0.0138,2.30,5012128478703,05024004787618,24,12,0.01,2.35
