Description,Barcode,Price,SupplierCode,Desc,PR,P
12378: Cuisine 2L FridgeJug/StoreContainer & Lid Clear/IceWhite,5038135123788,12                            £1.00                   £12.00,12378,Cuisine 2L FridgeJug/StoreContainer & Lid Clear/IceWhite,1.00 ,1.00
12203: Cuisine 15L Large Square Food Box & Lid Clear/Ice White,5038135122033,10                            £1.95                   £19.50,12203,Cuisine 15L Large Square Food Box & Lid Clear/Ice White,1.95 ,1.95
12374: Cuisine 2.7L Rect Food Box & Lid Clear/Ice White,5038135123740,12                           £0.78                   £9.36,12374,Cuisine 2.7L Rect Food Box & Lid Clear/Ice White,0.78 ,0.78
12371:  Cuisine 1.2L Rect Food Box & Lid Clear/Ice White ,5038135123719,24                            £0.49                  £11.76,12371, Cuisine 1.2L Rect Food Box & Lid Clear/Ice White ,0.49 ,0.49
20128: Laundry Pk20 Plastic Pegs Assorted,5038135201288,48                     £0.52                  £24.96,20128,Laundry Pk20 Plastic Pegs Assorted,0.52 ,0.52
10653: Laundry 15m Steel Core Clothes Line Assorted,5038135106539,15                           £0.75                   £11.25,10653,Laundry 15m Steel Core Clothes Line Assorted,0.75 ,0.75
10656: Laundry 25m Steel Core Clothes Line Assorted,5038135106569,12                            £1.25                    £15.00,10656,Laundry 25m Steel Core Clothes Line Assorted,1.25 ,1.25
10655: Laundry 20m Plastic Core Clothes Line Assorted,5038135106552,15                           £0.85                  £12.75,10655,Laundry 20m Plastic Core Clothes Line Assorted,0.85 ,0.85
11580: Casa 10L Bucket Silver,5038135115806,12                            £1.20                    £14.40,11580,Casa 10L Bucket Silver,1.20 ,1.20
17402: Casa 10L Bucket Mocha,5038135174025,12                            £1.20                    £14.40,17402,Casa 10L Bucket Mocha,1.20 ,1.20
11335: Casa 16L Bucket Silver,5038135113352,12                            £1.75                    £21.00,11335,Casa 16L Bucket Silver,1.75 ,1.75
11585: Casa 16L Mop Bucket Silver,5038135115851,8                      £2.40                  £19.20,11585,Casa 16L Mop Bucket Silver,2.40 ,2.40
17452: Casa 16L Mop Bucket Mocha,5038135174520,8                      £2.40                  £19.20,17452,Casa 16L Mop Bucket Mocha,2.40 ,2.40
"20307: Set  of 2 Eden  18.5cm (7"") Plant Pots Terracotta",5038135203077,24                            £0.65                  £15.60,20307,"Set  of 2 Eden  18.5cm (7"") Plant Pots Terracotta",0.65 ,0.65
"20306: Set  of 3 Eden  15.7cm (6"")  Plant Pots Terracotta",5038135203060,24                            £0.56                  £13.44,20306,"Set  of 3 Eden  15.7cm (6"")  Plant Pots Terracotta",0.56 ,0.56
"20305: Set  of 4 Eden  13cm (5"") Plant Pots Terracotta",5038135203053,24                            £0.58                  £13.92,20305,"Set  of 4 Eden  13cm (5"") Plant Pots Terracotta",0.58 ,0.58
"20304: Set  of 6 Eden  10.5cm (4"") Plant Pots Terracotta",5038135203046,24                            £0.54                  £12.96,20304,"Set  of 6 Eden  10.5cm (4"") Plant Pots Terracotta",0.54 ,0.54
