CodeDescription,UnitSize,PackSize,Qty,UnitPrice,LinePrice,V.A.T,Barcode,UnitCost,Desc,Code
186196 - BRISTOWS HAIRSPRAY ULTRA HOLD,300ML,6,3,4.09,12.27,1,5014697026903,0.68,BRISTOWS HAIRSPRAY ULTRA HOLD,186196 
205212 - BRITE OVEN POWER KIT 50% EX FREE,495ML,6,2,3.99,7.98,1,5011962540010,0.67,BRITE OVEN POWER KIT 50% EX FREE,205212 
265844 - CAMAY SOAP CLASSIC 3 PACK,125G,24,2,16.80,33.60,1,8999999058401,0.70,CAMAY SOAP CLASSIC 3 PACK,265844 
347490 - CLEAN & FRESH BLEACH CITRUS,750ML,12,2,4.09,8.18,1,5010159030297,0.34,CLEAN & FRESH BLEACH CITRUS,347490 
347504 - CLEAN & FRESH BLEACH CITRUS,2LTR,6,6,4.49,26.94,1,5010159030303,0.75,CLEAN & FRESH BLEACH CITRUS,347504 
258736 - CLEAN & FRESH BLEACH ORIGINAL,2LTR,6,6,4.49,26.94,1,5010159030228,0.75,CLEAN & FRESH BLEACH ORIGINAL,258736 
198295 - CLEAN & FRESH BLEACH ORIGINAL,750ML,12,2,4.09,8.18,1,5010159030204,0.34,CLEAN & FRESH BLEACH ORIGINAL,198295 
835754 - CLEAN & FRESH FABRIC CONDITIONER JASMINE,LTR,8,1,4.89,4.89,1,5011209042277,0.61,CLEAN & FRESH FABRIC CONDITIONER JASMINE,835754 
190356 - COLGATE TOOTHPASTE DEEP CLEAN WHITENING,100ML,12,1,6.95,6.95,1,8714789115474,0.58,COLGATE TOOTHPASTE DEEP CLEAN WHITENING,190356 
229858 - COLGATE TOOTHPASTE FAMILY ACTION,100ML,12,1,5.49,5.49,1,8714789970714,0.46,COLGATE TOOTHPASTE FAMILY ACTION,229858 
265604 - COLGATE TOOTHPASTE TRIPLE ACTION ORIGINAL MINT,100ML,12,1,7.19,7.19,1,8714789529479,0.60,COLGATE TOOTHPASTE TRIPLE ACTION ORIGINAL MINT,265604 
941858 - COLGATE TOOTHPASTE WHITE&FRESH,100ML,12,1,7.49,7.49,1,8714789601106,0.62,COLGATE TOOTHPASTE WHITE&FRESH,941858 
192956 - COMFORT FABRIC CONDITIONER PURE,5LTR,2,2,7.99,15.98,1,7615400720804,4.00,COMFORT FABRIC CONDITIONER PURE,192956 
759326 - CUSSONS BABY POWDER,350GM,6,1,4.09,4.09,1,5000101804854,0.68,CUSSONS BABY POWDER,759326 
172560 - CUSSONS PURE HAND WASH FRUIT SALAD,500ML,6,2,4.25,8.50,1,5000101144479,0.71,CUSSONS PURE HAND WASH FRUIT SALAD,172560 
172552 - CUSSONS PURE HAND WASH JELLY BEANS,500ML,6,2,4.25,8.50,1,5000101144394,0.71,CUSSONS PURE HAND WASH JELLY BEANS,172552 
400424 - CYCLAX ALOE VERA POT28 02 21,300ML,6,1,3.99,3.99,1,5000444014903,0.67,CYCLAX ALOE VERA POT,400424 
400418 - CYCLAX APRICOT FACIAL SCRUB28 02 21,300ML,6,1,3.99,3.99,1,5000444014910,0.67,CYCLAX APRICOT FACIAL SCRUB,400418 
400430 - CYCLAX EVE PRIMROSE POT31 01 21,300ML,6,1,3.99,3.99,1,5000444014873,0.67,CYCLAX EVE PRIMROSE POT,400430 
148321 - CYCLAX LAVENDER SCRUB POT28 02 19,300ML,6,1,3.99,3.99,1,5000444023462,0.67,CYCLAX LAVENDER SCRUB POT,148321 
400401 - CYCLAX VITAMIN E POT 28 02 21,300ML,6,1,3.99,3.99,1,5000444014897,0.67,CYCLAX VITAMIN E POT,400401 
263921 - DAZ POWDER CITRUS 90W,5.85KG,1,2,7.99,15.98,1,8001090396501,7.99,DAZ POWDER CITRUS 90W,263921 
158180 - DENTIMINT MOUTHWASH F MINT01 5 19,500ML,6,1,2.99,2.99,1,5010159894745,0.50,DENTIMINT MOUTHWASH F MINT,158180 
158172 - DENTIMINT MOUTHWASH MILD MINT,500ML,6,1,2.99,2.99,1,5010159894738,0.50,DENTIMINT MOUTHWASH MILD MINT,158172 
723636 - DOFF KNOCKDOWN WEED KILLER (R),450ML,12,2,7.56,15.12,1,5013655001563,0.63,DOFF KNOCKDOWN WEED KILLER (R),723636 
903519 - DOGGY BAGS 200PK,PRE909,24,1,12.48,12.48,1,5050895171519,0.52,DOGGY BAGS 200PK,903519 
235574 - DR BECKMANN COLOUR & DIRT COLLECTOR,10'S,12,1,6.60,6.60,1,5010287475250,0.55,DR BECKMANN COLOUR & DIRT COLLECTOR,235574 
667529 - DR BECKMANN GLOW WHITE SUPER WHITENER,40GM,8,2,5.09,10.18,1,5010287445161,0.64,DR BECKMANN GLOW WHITE SUPER WHITENER,667529 
667511 - DR BECKMANN GLOWBRIGHT STAIN REMOVER,40GM,8,2,5.09,10.18,1,5010287471115,0.64,DR BECKMANN GLOWBRIGHT STAIN REMOVER,667511 
047343 - DR JOHNSON ANTISEPTIC LIQUID,500ML,12,2,3.99,7.98,1,5025416330027,0.33,DR JOHNSON ANTISEPTIC LIQUID,047343 
046743 - DR JOHNSON STERILISE FLUID,LTR,12,1,7.25,7.25,1,5025416330034,0.60,DR JOHNSON STERILISE FLUID,046743 
835514 - DRI PAK BICARB SODA,500GM,6,1,4.15,4.15,1,5011289001775,0.69,DRI PAK BICARB SODA,835514 
213885 - DRI PAK WASH SODA CRYSTALS,1KG,6,8,3.15,25.20,1,5011289000297,0.53,DRI PAK WASH SODA CRYSTALS,213885 
218009 - EASY  3 IN 1 POWDER+30%,780gm,6,1,3.99,3.99,1,5000185109982,0.67,EASY  3 IN 1 POWDER+30%,218009 
217994 - EASY BIOLOGICAL POWDER+30%,780gm,6,1,3.99,3.99,1,5000185109951,0.67,EASY BIOLOGICAL POWDER+30%,217994 
217978 - EASY COLOURS POWDER+30%,780gm,6,1,3.99,3.99,1,5000185109975,0.67,EASY COLOURS POWDER+30%,217978 
717001 - EASY SINK & PIPE UNBLOCKER,1LTR,6,8,4.35,34.80,1,5000185110056,0.73,EASY SINK & PIPE UNBLOCKER,717001 
150631 - ESSENTIAL DISINFECTANT LAV,2.5L,4,4,2.75,11.00,1,5011962530011,0.69,ESSENTIAL DISINFECTANT LAV,150631 
150623 - ESSENTIAL DISINFECTANT PINE,2.5L,4,4,2.75,11.00,1,5011962530004,0.69,ESSENTIAL DISINFECTANT PINE,150623 
205197 - ESSENTIALS AMMONIA LIQ 50% EX FREE,750ML,6,6,2.99,17.94,1,5011962114686,0.50,ESSENTIALS AMMONIA LIQ 50% EX FREE,205197 
205204 - ESSENTIALS CAUSTIC SODA 25% EX FREE,625G,6,8,4.39,35.12,1,5011962114303,0.73,ESSENTIALS CAUSTIC SODA 25% EX FREE,205204 
043140 - FACE CLOTH ASST COLS(R),,12,2,3.96,7.92,1,5023674117060,0.33,FACE CLOTH ASST COLS(R),043140 
235805 - FAIRY WASH UP CITRUS GROVE,520ML,16,1,11.49,11.49,1,4084500920149,0.72,FAIRY WASH UP CITRUS GROVE,235805 
235813 - FAIRY WASH UP POMEGRANATE,520ML,16,1,11.49,11.49,1,4084500919990,0.72,FAIRY WASH UP POMEGRANATE,235813 
849490 - FIRE LIGHTERS FLAMEFAST,24S,28,3,8.99,26.97,1,5022704000013,0.32,FIRE LIGHTERS FLAMEFAST,849490 
022660 - GILLETTE FOAM REGULAR31 01 20,200ML,6,1,4.09,4.09,1,3014260000318,0.68,GILLETTE FOAM REGULAR,022660 
046800 - GILLETTE FOAM SENSITIVE31 01 20",200ML,6,1,4.09,4.09,1,7702018980932,0.68,GILLETTE FOAM SENSITIVE,046800 
112821 - GILLETTE SHAVE GEL SENSITIVE30 11 19,200ML,6,1,6.79,6.79,1,7702018980918,1.13,GILLETTE SHAVE GEL SENSITIVE,112821 
774655 - GLADE SOLID LAVENDER GEL,,8,2,5.49,10.98,1,50204649,0.69,GLADE SOLID LAVENDER GEL,774655 
275247 - GLADE SOLID LILY GEL,,8,2,5.49,10.98,1,50204977,0.69,GLADE SOLID LILY GEL,275247 
275224 - GLADE SOLID MAG&VANILLA GEL,,8,2,5.49,10.98,1,50204274,0.69,GLADE SOLID MAG&VANILLA GEL,275224 
631160 - HANKIES MENS BOXED 3PK (R),HK011,12,1,7.60,7.60,1,5020133160155,0.63,HANKIES MENS BOXED 3PK (R),631160 
765167 - HARPIC POWER PLUS TOILET CLEANER ORIGINAL,750ML,6,2,4.49,8.98,1,3059941005671,0.75,HARPIC POWER PLUS TOILET CLEANER ORIGINAL,765167 
958663 - HOME CARE HOB BRITE CREAM,300ML,6,3,5.49,16.47,1,5011962117007,0.92,HOME CARE HOB BRITE CREAM,958663 
958639 - HOME CARE SHINY SINKS CREAM,290ml,6,6,4.19,25.14,1,5011962116000,0.70,HOME CARE SHINY SINKS CREAM,958639 
262775 - IM SO ENERGISED RASPBERRY BATH&SHOWER GEL,500ML,6,2,3.75,7.50,1,5037378007398,0.63,IM SO ENERGISED RASPBERRY BATH&SHOWER GEL,262775 
262816 - IM SO REFRESHED MANGO&PAPAYA BATH& SHOWER GEL,500ML,6,2,3.75,7.50,1,5037378007336,0.63,IM SO REFRESHED MANGO&PAPAYA BATH& SHOWER GEL,262816 
262824 - IM SO RELAXED CHERRY&WILD FIG BATH& SHOWER GEL,500ML,6,2,3.75,7.50,1,5037378007350,0.63,IM SO RELAXED CHERRY&WILD FIG BATH& SHOWER GEL,262824 
262832 - IM SO SOOTHED VANILLA& MACADAMIA BATH& SHOWER GEL,500ML,6,2,3.75,7.50,1,5037378007374,0.63,IM SO SOOTHED VANILLA& MACADAMIA BATH& SHOWER GEL,262832 
053268 - IMPERIAL LEATHER TALC ORIGINAL,300GM,6,1,4.99,4.99,1,5000101018145,0.83,IMPERIAL LEATHER TALC ORIGINAL,053268 
989262 - INSETTE 2 1 A F BERRIES16 02 19,350ML,12,1,4.09,4.09,1,5012334002365,0.34,INSETTE 2 1 A F BERRIES,989262 
298999 - INSETTE 2 1 A F JASMINE,350ML,12,1,4.09,4.09,1,5012334002341,0.34,INSETTE 2 1 A F JASMINE,298999 
637712 - INSETTE 2 1 A F LAVENDER,350ML,12,1,4.09,4.09,1,5012334004307,0.34,INSETTE 2 1 A F LAVENDER,637712 
000292 - INSETTE 2 1 A F ROSE SUMMER,350ML,12,1,4.09,4.09,1,5012334004321,0.34,INSETTE 2 1 A F ROSE SUMMER,000292 
053216 - INSETTE 2 1 A F SPRING FLOWERS,350ML,12,1,4.09,4.09,1,5012334004314,0.34,INSETTE 2 1 A F SPRING FLOWERS,053216 
680240 - J&J COTTON BUDS 200S,200S,6,2,4.79,9.58,1,5000207584506,0.80,J&J COTTON BUDS 200S,680240 
128050 - JEYES OUTDOOR CLEANER READY TO USE,500ML,6,2,5.39,10.78,1,5000185111138,0.90,JEYES OUTDOOR CLEANER READY TO USE,128050 
025366 - JEYES OUTDOOR CLEANER 11 10 22,300ML,12,1,31.99,31.99,1,50185276,2.67,JEYES OUTDOOR CLEANER 11 10 22,025366 
794265 - MORNING FRESH W UP ORIG +50%,450ML,16,1,9.59,9.59,1,5000101988790,0.60,MORNING FRESH W UP ORIG +50%,794265 
841660 - MORNING FRESH W UP Z LEMON+50%,450ML,16,1,9.59,9.59,1,5000101989421,0.60,MORNING FRESH W UP Z LEMON+50%,841660 
233023 - MY LITTLE PONY CHOCOLATES TIN,30G,16,1,10.39,10.39,1,5026418092944,0.65,MY LITTLE PONY CHOCOLATES TIN,233023 
271289 - MY LITTLE PONY EQUESTRIA GIRLS 2 ASSTD,A3996,4,1,13.20,13.20,1,5010994737566,3.30,MY LITTLE PONY EQUESTRIA GIRLS 2 ASSTD,271289 
199944 - MY LITTLE PONY SURPRISE EGG (D),10G,18,1,8.09,8.09,1,96092989,0.45,MY LITTLE PONY SURPRISE EGG (D),199944 
752198 - NEUTRADOL CRPET ORIG+50G,400GM,12,2,7.45,14.90,1,5013912908277,0.62,NEUTRADOL CRPET ORIG+50G,752198 
752205 - NEUTRADOL CRPET S FRSH+50G,400GM,12,2,7.45,14.90,1,5013912908284,0.62,NEUTRADOL CRPET S FRSH+50G,752205 
192550 - NEUTRADOL DUSTBIN ODOUR DESTROYER,350g,6,2,3.99,7.98,1,5013912907409,0.67,NEUTRADOL DUSTBIN ODOUR DESTROYER,192550 
331117 - NEUTRADOL GEL CONC S FRESH,140GM,12,2,7.69,15.38,1,5013912900066,0.64,NEUTRADOL GEL CONC S FRESH,331117 
192542 - NEUTRADOL VAC SAC DEO S FRESH,3PK,6,2,3.79,7.58,1,5013912902107,0.63,NEUTRADOL VAC SAC DEO S FRESH,192542 
174061 - NICKY SOFT FAMILY TISSUES,124s,15,2,6.99,13.98,1,8004260422307,0.47,NICKY SOFT FAMILY TISSUES,174061 
260373 - NICKY SOFT TOUCH TOILET TISSUE,9ROLLS,5,20,6.55,131.00,1,8004260428460,1.31,NICKY SOFT TOUCH TOILET TISSUE,260373 
260381 - NICKY SOFT TOUCH TOILET TISSUE,4ROLLS,10,20,6.79,135.80,1,8004260428392,0.68,NICKY SOFT TOUCH TOILET TISSUE,260381 
537611 - NICKY TALENT KITCHEN TOWEL,4PK,6,18,4.09,73.62,1,8004260481137,0.68,NICKY TALENT KITCHEN TOWEL,537611 
256322 - NIVEA DEODORANT SPRAY MEN BLACK & WHITE POWER,100ML,12,1,7.80,7.80,1,4005900136367,0.65,NIVEA DEODORANT SPRAY MEN BLACK & WHITE POWER,256322 
154576 - NIVEA MEN A P COOL KICK,150ML,6,1,5.99,5.99,1,4005808300259,1.00,NIVEA MEN A P COOL KICK,154576 
031671 - NIVEA TALC (D),300GM,6,1,4.69,4.69,1,5000336016350,0.78,NIVEA TALC (D),031671 
091661 - OUST ALL PURPOSE DESCALER,3 SACH,6,8,5.49,43.92,1,5000325018990,0.92,OUST ALL PURPOSE DESCALER,091661 
934241 - OUST ALL PURPOSE DESCALER,250ml,6,2,6.99,13.98,1,5000325030527,1.17,OUST ALL PURPOSE DESCALER,934241 
174392 - PLEDGE POLISH SPRINGTIME,250ML,6,2,4.09,8.18,1,5000204689235,0.68,PLEDGE POLISH SPRINGTIME,174392 
174417 - PLEDGE POLISH WOOD CLASSIC,250ML,6,3,4.09,12.27,1,5000204690088,0.68,PLEDGE POLISH WOOD CLASSIC,174417 
132225 - PRETTY LIP BALM ALOE VERA(R),2PK,12,1,4.20,4.20,1,5031413954203,0.35,PRETTY LIP BALM ALOE VERA(R),132225 
274225 - RADOX HAND WASH REVIVE MANDARIN,300ML,6,2,3.75,7.50,1,8711700953030,0.63,RADOX HAND WASH REVIVE MANDARIN,274225 
344895 - RADOX SALTS MUSCLE SOAK,400GM,6,1,4.05,4.05,1,5000231036781,0.68,RADOX SALTS MUSCLE SOAK,344895 
305124 - RADOX SALTS VAPOUR THERAPY,400GM,6,3,4.05,12.15,1,5000231036767,0.68,RADOX SALTS VAPOUR THERAPY,305124 
218439 - RADOX SHOWER GEL FEEL AWAKE FOR MEN,250ML,6,2,3.99,7.98,1,5000231049927,0.67,RADOX SHOWER GEL FEEL AWAKE FOR MEN,218439 
