Code,Description,Barcode,Cases,InnerQ,OuterQ,Total Qty,Required Date,Expected Month,Price,Line Total,InnerB,OuterB
3103/48,Medium (12 strips) modelling clay,5013922031033,1,12,48,48,18/11/14,18/11/14,0.38,18.24,5013922131030,5013922831039
6829,Reward Stars Gold  Silver and Bronze,5013922068299,1,12,72,72,18/11/14,18/11/14,0.48,34.56,5013922168296,5013922868295
6811,650 Reward Stickers,5013922068114,1,12,72,72,18/11/14,18/11/14,0.46,33.12,5013922168111,5013922868110
5032/,Glitterglue Pk10 On Card,5013922050324,1,12,72,72,18/11/14,18/11/14,0.45,32.4,5013922150321,5013922850320
6088,12 metallic colour Glitter Pots,5013922060880,1,12,48,48,18/11/14,18/11/14,0.48,23.04,5013922160887,5013922860886
6089,4  8 Gramm Glitter Shakers,5013922060897,1,12,72,72,18/11/14,18/11/14,0.45,32.4,5013922160894,5013922860893
6087,8 Glitter Tubes,5013922060873,1,12,48,48,18/11/14,18/11/14,0.42,20.16,5013922160870,5013922860879
6018,3 by 8 Gram twist action Glue Sticks,5013922060187,1,24,144,144,18/11/14,18/11/14,0.25,36,5013922160184,5013922860183
6027,PVA Glue 500ml White,5013922060279,1,6,36,36,18/11/14,18/11/14,0.9,32.4,5013922160276,5013922860275
5125,12 Artist Natural Bristle brushes,5013922051253,1,12,48,48,18/11/14,18/11/14,0.98,47.04,5013922151250,5013922851259
5098,20 Sheets Black Activity Card,5013922050980,1,12,48,48,18/11/14,18/11/14,0.48,23.04,5013922150987,5013922850986
5095,A4 White Card 30 Sheets,5013922050959,1,12,48,48,18/11/14,18/11/14,0.48,23.04,5013922150956,5013922850955
5283/48,10 Sheets A3 Neon Card,5013922052830,1,12,48,48,18/11/14,18/11/14,0.48,23.04,5013922152837,5013922852836
5286/48,10 Sheets A3 Pastel Card,5013922052861,1,12,48,48,18/11/14,18/11/14,0.48,23.04,5013922152868,5013922852867
5284,20 Sheets A4 Neon Card,5013922052847,1,12,48,48,18/11/14,18/11/14,0.48,23.04,5013922152844,5013922852843
5287/48,20 Sheets A4 Pastel Card,5013922052878,1,12,48,48,18/11/14,18/11/14,0.48,23.04,5013922152875,5013922852874
5288/48,50 Sheets A4 Pastel Paper,5013922052885,1,12,48,48,18/11/14,18/11/14,0.48,23.04,5013922152882,5013922852881
5291/48,Holographic boards 8 pack,5013922052915,1,12,48,48,18/11/14,18/11/14,0.48,23.04,5013922152912,5013922852911
5290/48,Metallic boards 8 pack,5013922052908,1,12,48,48,18/11/14,18/11/14,0.48,23.04,5013922152905,5013922852904
4049,Super Jumbo Colouring Book,5013922040493,1,6,48,48,18/11/14,18/11/14,0.48,23.04,5013922140490,5013922840499
5138,Acrylic Paints 10 x6 Ml tubes,5013922051383,1,12,72,72,18/11/14,18/11/14,0.48,34.56,5013922151380,5013922851389
1223,6 Glitter Gel Ink Pens,5013922012230,1,12,72,72,18/11/14,18/11/14,0.45,32.4,5013922112237,5013922812236
1225,6 Gel Pens,5013922012254,1,12,72,72,18/11/14,18/11/14,0.45,32.4,5013922112251,5013922812250
4070/72,5 Chunky Highlighters,5013922040707,1,12,72,72,18/11/14,18/11/14,0.48,34.56,5013922140704,5013922840703
1000,4 Dry-Wipe Markers,5013922010007,1,12,72,72,18/11/14,18/11/14,0.48,34.56,5013922110004,5013922810003
5019/96,12 HB Pencils with erasers,5013922050195,1,24,96,96,18/11/14,18/11/14,0.33,31.68,5013922150192,5013922850191
9193,Drawing Pins Asstd appx 120,5013922091938,1,12,96,96,18/11/14,18/11/14,0.33,31.68,5013922191935,5013922891934
6032,10 Mini Rolls Of Clear Tape in Cdu,5013922060323,1,12,48,48,18/11/14,18/11/14,0.48,23.04,5013922160320,5013922860329
3134,200  36 x 89mm Address Labels,5013922031347,1,12,72,72,18/11/14,18/11/14,0.48,34.56,5013922131344,5013922831343
3251/96,Reporter Notepad 160 Pages,5013922032511,1,12,96,96,18/11/14,18/11/14,0.25,24,5013922132518,5013922832517
7664,A4 Soft Touch Notebook Pastels,5013922076645,1,12,24,24,18/11/14,18/11/14,1.9,45.6,5013922176642,5013922876641
7665,A5 Soft Touch Notebook Pastels,5013922076652,1,12,48,48,18/11/14,18/11/14,0.98,47.04,5013922176659,5013922876658
7667,Pocket Soft Touch N book Pas,5013922076676,1,24,72,72,18/11/14,18/11/14,0.45,32.4,5013922176673,5013922876672
7666,Slim Soft Touch Notebook Paste,5013922076669,1,24,48,48,18/11/14,18/11/14,0.65,31.2,5013922176666,5013922876665
3300,Holographic Bag Small,5013922033006,1,12,144,144,18/11/14,18/11/14,0.12,17.28,5013922133003,5013922833002
3302,Holographic Bag Bottle,5013922033020,1,12,96,96,18/11/14,18/11/14,0.18,17.28,5013922133027,5013922833026
6128,Midi Exec Padded Address Book,5013922061283,1,12,72,72,18/11/14,18/11/14,0.8,57.6,5013922161280,5013922861289
4219,5 Bubble Env Size C 150 x 215,5013922042190,1,1,24,24,18/11/14,18/11/14,0.45,10.8,5013922142197,5013922842196
9295,Gold Lacquer Spray 110Ml,5013922092959,1,12,96,96,18/11/14,18/11/14,0.55,52.8,5013922192956,5013922892955
9298,Snow Spray 110ml,5013922092980,1,24,96,96,18/11/14,18/11/14,0.6,57.6,5013922192987,5013922892986
9281,Magic Bubbles 60ml,5013922092812,1,24,96,96,18/11/14,18/11/14,0.12,11.52,5013922192819,5013922892818
4146/48,A4 White Copy Paper 75 Sheets,5013922041469,1,12,48,48,18/11/14,18/11/14,0.48,23.04,5013922141466,5013922841465
8000,Cloakroom Tickets 1-500,5013922080000,2,12,144,288,18/11/14,18/11/14,0.28,80.64,5013922180007,5013922880006
4056/96,10 Clear plastic Punched pockets,5013922040561,1,12,96,96,18/11/14,18/11/14,0.15,14.4,5013922140568,5013922840567
4055,80 Clear plastic Punched pockets,5013922040554,1,5,30,30,18/11/14,18/11/14,0.95,28.5,5013922140551,5013922840550
6026/72,4 A4 Polyfile Plastic Wallet,5013922060262,1,12,72,72,18/11/14,18/11/14,0.48,34.56,5013922160269,5013922860268
6101/48,6 Card Document Wallets,5013922061016,1,6,48,48,18/11/14,18/11/14,0.48,23.04,5013922161013,5013922861012
6043/72,3 A4 Zip Top Document Wallets,5013922060439,1,12,72,72,18/11/14,18/11/14,0.5,36,5013922160436,5013922860435
6502,4 A4 Business/report Files  metal tabs,5013922065021,1,12,48,48,18/11/14,18/11/14,0.48,23.04,5013922165028,5013922865027
6195/10,A4 Lever Arch Files ready assembled,5013922061955,1,1,10,10,18/11/14,18/11/14,0.98,9.8,5013922161952,5013922861951
6107,6 Neon PP Cover Notebook 76 x 126mm,5013922061078,1,12,72,72,18/11/14,18/11/14,0.48,34.56,5013922161075,5013922861074
6066/72,180 Sheet Illustrated Note Pad Block,5013922060668,1,12,72,72,18/11/14,18/11/14,0.27,19.44,5013922160665,5013922860664
4247,12 E Mailer Bags Small 160 x 230mm,5013922042473,1,12,72,72,18/11/14,18/11/14,0.48,34.56,5013922142470,5013922842479
4248,6 E Mailer Bags Medium 240 x 320,5013922042480,1,12,72,72,18/11/14,18/11/14,0.48,34.56,5013922142487,5013922842486
4249,3 E Mailer Bags Large 320 x 440mm,5013922042497,1,12,72,72,18/11/14,18/11/14,0.48,34.56,5013922142494,5013922842493
4253,2 E Mailer Bags Extra Lge 640 x 880,5013922042534,1,12,72,72,18/11/14,18/11/14,0.48,34.56,5013922142531,5013922842530
4672,30 C5 White peal & seal Envelopes,5013922046723,1,10,80,80,18/11/14,18/11/14,0.46,36.8,5013922146720,5013922846729
4679,50 C6 Manila peal & seal Envelopes,5013922046792,1,12,72,72,18/11/14,18/11/14,0.46,33.12,5013922146799,5013922846798
5158/48,3 by 40m Balls by String,5013922051581,1,12,48,48,18/11/14,18/11/14,0.48,23.04,5013922151588,5013922851587
5160/48,100m ball of white String,5013922051604,1,12,48,48,18/11/14,18/11/14,0.48,23.04,5013922151601,5013922851600
1277,4m x 70cm Parcel/Kraft wrap,5013922012773,3,36,72,216,18/11/14,18/11/14,0.36,77.76,5013922112770,5013922812779
6198,A4 Twin Wiro Notebook,5013922061986,1,6,24,24,18/11/14,18/11/14,1.1,26.4,5013922161983,5013922861982
