Code,price,Name,Description,Short Description,Long Description,CartonQty,Pallet Quantity,EanBarcode,ITF Barcode,Net Weight,Image Main,Image 1,Image 2,Image 3,Video,Alternative 1,Alternative 2,Alternative 3,Acessories 1,Acessories 2,Acessories 3
KC400FB,0.50,400 Pack Medium Sandwich Food Freezer Bags,400 pack medium sandwich food and freezer bags. H220mmxW170mm. Packed on a roll in a clear cellophane bag with full colour artwork.,400 pack medium sandwich food and freezer bags. H220mmxW170mm.,Roll of 400 Sandwich Food and Freezer bags. Packed in a printed bag.,20,2880,5013478125972,5.01348E+12,0.2,rsz_b37f88f4d97b419a8798b1e5c1740d99.jpg,,,,,KC200FB,KC45FB,,,,
KC200FB,0.50,200 Pack Large Sandwich Food Freezer Bags,200 pack large sandwich food and freezer bags. H345mmxW220mm. Packed on a roll in a clear cellophane bag with full colour artwork.,200 pack large sandwich food and freezer bags. H345mmxW220mm.,Roll of 200 sandwich food and freezer bags. Packed in a printed bag.,20,3220,5013478125958,5.01348E+12,0,main_KC200FB_PA.jpg,,,,,KC400FB,KC45FB,,,,
KC45FB,0.50,45 Pack Extra Large Sandwich Food Freezer Bags,45 pack extra large sandwich food and freezer bags. H395mmxW300mm. Packed on a roll in a clear cellophane bag with full colour artwork.,45 pack extra large sandwich food and freezer bags. H395mmxW300mm.,Roll of 45 Sandwich Food and Freezer bags. Packed in a printed bag.,20,2880,5013478125934,5.01348E+12,0,main_KC45FB_PA.jpg,,,,,KC200FB,,,,,
CBOX12,0.65,12 Inch Cake Box,0.52micron thick card. Size matches the Kingfisher Cake Boards range. Individually packed in a plastic wrap with full colour barcode label.,White cake box base and lid. Made of thick glossy card. Ideal for keeping cakes safe during transit. Flat packed for easy storage. H10cm x W30cm x D30cm,,12,1728,5013478150431,5.01348E+12,0.16,rsz_f48e7f1b3b6f4ff38656b380cb9e07dc.jpg,rsz_f6c3a06a0b504ee6a2a396535a47edd3.jpg,,,,,,,,,
CBOX10,0.50,10 Inch Cake Box,0.52micron thick card. Size matches the Kingfisher Cake Boards range. Individually packed in a plastic wrap with full colour barcode label.,White cake box base and lid. Made of thick glossy card. Ideal for keeping cakes safe during transit. Flat packed for easy storage. H10cm x W25.5cm x D25.5cm,,12,2640,5013478150417,5.01348E+12,0.12,rsz_9df1728796b14e8f8eb89b7a383ab688.jpg,rsz_29ce2e8fc24c407b99a59acc6e1aeb77.jpg,,,,,,,,,
CBOX8,0.40,8 Inch Cake Box,0.52micron thick card. Size matches the Kingfisher Cake Boards range. Individually packed in a plastic wrap with full colour barcode label.,White cake box base and lid. Made of thick glossy card. Ideal for keeping cakes safe during transit. Flat packed for easy storage. H10cm x W21cm x D21cm,,12,4368,5013478150394,5.01348E+12,0.1,rsz_48ed36b551be4a75ab22cdb669e61308.jpg,rsz_3b2f75c572b2415882a335b28a3110c4.jpg,,,,,,,,,
KGV2,2.00,100 Pack Powdered Vinyl Disposable Gloves - Medium,100 pack powdered vinyl disposable gloves. Size: medium. Non sterile. Packed in a full colour perforated dispensing box.,100 pack powdered vinyl disposable gloves. Size: medium. Non sterile.,Medium powdered vinyl disposable gloves. Non-sterile single-use ambidextrous gloves Packed in a full colour display carton.,10,780,5013478118721,5.01348E+12,0.01,rsz_1ca97a381de14b589dbaeab7193470d3.jpg,,,,,KGV1,KGV3,KGV4,,,
KGV3,2.00,100 Pack Powdered Vinyl Disposable Gloves - Large,100 pack powdered vinyl disposable gloves. Size: large. Non sterile. Packed in a full colour perforated dispensing box.,100 pack powdered vinyl disposable gloves. Size: large. Non sterile.,Large powdered vinyl disposable gloves. Non-sterile single-use ambidextrous gloves. Packed in a full colour display carton.,10,780,5013478118738,5.01348E+12,0.01,rsz_15b2bed249d242aaa5113ad420a3bae4.jpg,,,,,KGV1,KGV2,KGV4,,,
FCRATE,1.68,32L Fold Flat Plastic Storage Crate,Plastic storage crate with 32 litre capacity. Folds flat for easy storage. Material: polypropylene. Size when open H23.5xW47.5xD34.5cm approx. Complete with barcode sticker. Colours may vary.,Plastic storage crate with 32 litre capacity. Folds flat for easy storage. Material: polypropylene. Size when open H23.5xW47.5xD34.5cm approx.,,10,180,8009404310151,NA,0.72,rsz_520e652a4aaa4e60a4ca1d85efdd73b5.jpg,rsz_c97e52324f67469487aca0236628f569.jpg,,,,,,,,,
BBRS1,1.48,20 x Blue Ultra Strong 40L Rubble Sacks,20 x blue ultra strong 40L rubble sacks. H700mmxW500mm.55 microns. Packed in a roll with a full colour paper wrap.,20 x blue ultra strong 40L rubble sacks. H700mmxW500mm.55 microns.,A roll of heavy duty blue rubble sacks Packed with a full colour high gloss paper wrap.,8,1056,5013478119490,5.01348E+12,0.03,main_BBRS1_PA.jpg,Z:\WAREHOUSE\GOODS-IN\Configuration sheets\BBRS1.png,,,,BB5R,,,,,
BB100P,0.50,100 x White Value 12L Pedal Bin Liners,100 x white value 12L pedal bin liners. H400mmxW400mm. Packed on a roll in a full colour acetate film bag.,100 x white value 12L pedal bin liners. H400mmxW400mm.,100 Pedal Bin Liners,20,2100,5013478125903,5.01348E+12,0,main_BB100P_PA.jpg,Z:\WAREHOUSE\GOODS-IN\Configuration sheets\BB100P.png,,,,PED100,PED200,,BB5R,BB8GB,
PEST7,0.50,Humane Mouse Trap,Humane plastic mouse trap. No poisons required and designed to capture mice alive. Packed in a blister with full colour backing card.,Humane plastic mouse trap. No poisons required and designed to capture mice alive.,A humane way of catching unwanted mice. Simply set up and place in the area required. Made from a robust plastic and is durable. Comes packed on a full colour gloss finished card with blister.,12,1728,5013478120038,5.01348E+12,0.04,rsz_971e4fee9eff4cc296231ed2c5ad725c.jpg,PEST7_1.jpg,PEST7_2.jpg,,,PEST3,PEST5,PEST8,,,
BFWF01,1.00,0.9kg Bag High Energy Wild Bird Feed,0.9kg bag high energy premium wild bird feed. Contains sunflower hearts red dari white millet naked oats cut maize canary seed white dari peanut granules suet pellets niger seed and soya oil. Packed in a full colour display bag.,0.9kg bag high energy premium wild bird feed. Contains sunflower hearts red dari white millet naked oats cut maize canary seed white dari peanut granules suet pellets niger seed and soya oil.,High Energy Wild Bird Feed (0.9kg). Attracts a variety of birds suitable all year round and high energy. Packed in an air tight full colour pack.,6,810,5013478115751,5.01348E+12,0.91,main_BFWF01_PA.jpg,,,,,BFWF02,BFWF04,,BF002,BF018,BF019
