PRODUCTCODE,Description,Cartons,Outer,TotalPieces,PRICE,GROSSVALUE,NETT VALUE,VAT,BARCODE
KI6806,10X22 PK3 MAGNETIC BULDOG CLIP,1,72,72,0.4800,34.56,34.04,6.81,5024418086031
KG0154,11.5X3CM S/4 WHITE COASTERS,1,24,24,1.5000,36.00,35.46,7.09,5024418032489
GI6198,15X18X4.5CM FLASK SET,1,24,24,2.0000,48.00,47.28,9.46,5024418014195
PE0523,SAFETY FLASHER- HEART/BONE,1,72,72,0.4800,34.56,34.04,6.81,5024418395720
PE1115,"10X10 SQUEEKY PET ""MOUTH"" TOY",1,72,72,0.4800,34.56,34.04,6.81,5024418922247
PE1090,16X11 5 IN ONE PET LASER,1,72,72,0.4800,34.56,34.04,6.81,5024418942634
PE0920,50X25 FOX PET TOY,1,36,36,1.5000,54.00,53.19,10.64,5024418645153
ST4828A,ASSORTED BULLDOG CLIPS,1,72,72,0.4800,34.56,34.04,6.81,5024418315155
ST0966A,ALUMINIUM ARTIST RULER,1,72,72,0.4800,34.56,34.04,6.81,5024418188452
ST6396,PK3 7.5CM SILVER BULLDOG CLIPS,1,72,72,0.4800,34.56,34.04,6.81,5024418580201
ST7198,20X6.5 MILK CARTON PENCIL CASE,1,48,48,0.9500,45.60,44.92,8.98,5024418024125
ST1161A,30X40X1.5CM PLAIN CANVAS,1,48,48,1.2500,60.00,59.10,11.82,5024418568087
ST1504A,15X40X1.5CM CANVAS,1,72,72,0.8500,61.20,60.28,12.06,5024418118091
ST4999A,1.5MX40CM CANVAS ROLL,1,48,48,0.9500,45.60,44.92,8.98,5024418031727
ST1508,30X30X1.5CM CANVAS,1,48,48,0.9500,45.60,44.92,8.98,5024418082910
CR0234A,32X21 PK5 CRAFT FELT SHEETS,1,72,72,0.4800,34.56,34.04,6.81,5024418045724
CR0055,15X12CRFT PK12 PAPR RSES 6ASTD,1,72,72,0.4800,34.56,34.04,6.81,5024418649656
CR0062,10X19 GEM STICKERS 12ASTD,1,72,72,0.4800,34.56,34.04,6.81,5024418651369
CR1330,PK3 GLITTER STAR EMBELLISHMENT,1,72,72,0.4800,34.56,34.04,6.81,5024418160274
CR0388,12MM CRAFTING BELLS 6 ASTD,1,72,72,0.4800,34.56,34.04,6.81,5024418720713
