Account,Customer Name,Product,Description,EAN,outerQ,InnerQ,Price,Qty,Value,Weight,Prod Height (cm),Prod Width (cm),Prod Length (cm),Outer,InnerB
TO00041,LYNDA MILES T/AS MILES APART,FLTH,DECS FOIL - LANTERN 3 TIER (102CM),5012128408427.00,48,12,0.53,48,25.44,0.04,31,28,0.5,5024004681961.00,5024004681978.00
TO00041,LYNDA MILES T/AS MILES APART,FLTO,DECS FOIL - LANTERN 2 TIER (66CM),5012128408441.00,48,12,0.53,48,25.44,0.04,31.5,28,0.5,5024004682005.00,5024004682012.00
TO00041,LYNDA MILES T/AS MILES APART,FLTW,DECS FOIL - LANTERN 2 TIER (48CM),5012128408434.00,48,12,0.31,48,14.88,0.02,27.5,22,0.5,5024004681985.00,5024004681992.00
TO00041,LYNDA MILES T/AS MILES APART,FNBL,"8X10"" FLAT MIRROR BLACK & WHITE",5012128402210.00,6,0,1.2,12,14.4,0.48,2,23.5,28.5,5024004673805.00,
TO00041,LYNDA MILES T/AS MILES APART,FNCAR,FROZEN CARRY ALONG COLOURING SET,5012128424502.00,12,6,0.55,48,26.4,0.12,17.5,11.5,2,5024004707548.00,
TO00041,LYNDA MILES T/AS MILES APART,FNWT,"8X10"" PINE WOOD MIRROR",5012128402234.00,6,0,1.2,12,14.4,0.48,2,23.5,28.5,5024004673843.00,
TO00041,LYNDA MILES T/AS MILES APART,FRBB,CARDS 12 - TRADITIONAL ROBINS,5012128397332.00,24,0,0.48,72,34.56,0.16,2,15,15,5024004664605.00,5024004664612.00
TO00041,LYNDA MILES T/AS MILES APART,FSNS,CARDS 12 - FAMILY SNOW SCENE,5012128397356.00,24,0,0.48,72,34.56,0.16,2,15,15,5024004664643.00,5024004664650.00
TO00041,LYNDA MILES T/AS MILES APART,FWSN,CARDS 12 PHOTOGRAPHIC FOLIAGE,5012128397318.00,24,0,0.48,72,34.56,0.16,2,15,15,5024004664568.00,5024004664575.00
TO00041,LYNDA MILES T/AS MILES APART,GBID,BAGS GIANT SQ - CUTE BEARS,5012128400919.00,48,12,0.49,48,23.52,0.26,46.5,45,0.03,5024004671887.00,5024004671894.00
