Price,Code,Name,Marketing Description,OuterQ,Barcode,OuterB,Product Range,Brand Name,Length,Width,Height,Product Volume
0.73,0025.377    ,KILNER ROUND DRESSING BOTTLE 250ML           ,"Kilner Twist Top Jars and Bottles are a great addition to the range and are perfect for serving condiments and storing dried fruit and herbs. Kilner 250ml Round Dressing Bottle, H 233mm x W 52mm. Made from high quality, 30% recycled glass.",12,5010853194561,05010853901428,TWIST TOP,KILNER,52,52,233,0.000630032
0.68,0025.381    ,KILNER 580ML TWIST TOP JAR                   ,"The Kilner Twist Top Jars and Bottles are a great addition to the range and are perfect for serving condiments and storing dried fruit and herbs. Kilner 580ml Twist Top Jar, H 125mm x W 90mm. Made from high quality, 30% recycled glass.",12,5010853182445,05010853888002,TWIST TOP,KILNER,90,90,125,0.0010125
0.73,0025.382    ,KILNER 720ML TWIST TOP JAR                   ,"The Kilner Twist Top Jars and Bottles are a great addition to the range and are perfect for serving condiments and storing dried fruit and herbs. Kilner 720ml Twist Top Jar, H 135mm x W 100mm. Made from high quality, 30% recycled glass.",12,5010853182452,05010853888019,TWIST TOP,KILNER,100,100,135,0.00135
0.45,0025.383    ,KILNER HEXAGONAL TWIST TOP JAR 48ML          ,"Kilner Twist Top Jars and Bottles are a great addition to the range and are perfect for serving condiments and storing dried fruit and herbs. Kilner 48ml Hexagonal Twist Top Jar, H 53mm x W 45mm. Made from high quality, 30% recycled glass.",12,5010853191416,05010853898001,TWIST TOP,KILNER,48,45,53,0.00011448
0.54,0025.384    ,KILNER HEXAGONAL TWIST TOP JAR 110ML         ,"Kilner Twist Top Jars and Bottles are a great addition to the range and are perfect for serving condiments and storing dried fruit and herbs. Kilner 110ml Hexagonal Twist Top Jar, H 80mm x W 52mm. Made from high quality, 30% recycled glass.",12,5010853191423,05010853898018,TWIST TOP,KILNER,58,52,80,0.00024128
0.68,0025.385    ,KILNER HEXAGONAL TWIST TOP JAR 280ML         ,"Kilner Twist Top Jars and Bottles are a great addition to the range and are perfect for serving condiments and storing dried fruit and herbs. Kilner 280ml Hexagonal Twist Top Jar, H 101mm x W 70mm. Made from high quality, 30% recycled glass.",12,5010853191430,05010853898025,TWIST TOP,KILNER,78,70,101,0.00055146
0.73,0025.386    ,KILNER HEXAGONAL TWIST TOP BOTTLE 250ML      ,"Kilner Twist Top Jars and Bottles are a great addition to the range and are perfect for serving condiments and storing dried fruit and herbs. Kilner 250ml Hexagonal Twist Top Jar, H 190mm x W 53mm. Made from high quality, 30% recycled glass.",12,5010853191447,05010853898032,TWIST TOP,KILNER,58,53,190,0.00058406
0.79,0025.387    ,KILNER ROUND TWIST TOP JAR 580ML             ,"Kilner Twist Top Jars and Bottles are a great addition to the range and are perfect for serving condiments and storing dried fruit and herbs. Kilner 580ml Hexagonal Twist Top Jar, H 150mm x W 83mm. Made from high quality, 30% recycled glass.",6,5010853201634,05010853910246,TWIST TOP,KILNER,83,83,150,0.00103335
0.84,0025.388    ,KILNER ROUND TWIST TOP JAR 725ML             ,"Kilner 725ml Twist Top Jars, are made in England and made from high quality, 30% recycled glass. The Kilner Twist Top Jars and bottles are a great addition to the range and are perfect for serving condiments and storing dried fruit and herbs.",6,5010853201641,05010853910253,TWIST TOP,KILNER,88,88,165,0.00127776
0.73,0025.389    ,KILNER ROUND TWIST TOP JAR 370ML             ,"Kilner 370ml Twist Top Jars, are made in England and made from high quality, 30% recycled glass. The Kilner Twist Top Jars and bottles are a great addition to the range and are perfect for serving condiments and storing dried fruit and herbs. ",12,5010853201818,05010853910451,TWIST TOP,KILNER,75,75,115,0.000646875
2.59,0025.390    ,KILNER 70CL SPIRIT BOTTLE                    ,"The stylish Kilner bottle is ideal for homemade spirit, liqueurs and sloe gin. The bottle is supplied with a cork stopper for freshness.  0.7L capacity.",12,5010853201832,05010853910475,TWIST TOP,KILNER,0,0,0,0
2.31,0025.399    ,KILNER PRESERVE LID SEALS PACK OF 12         ,"Kilner Preserve Jar Lids are made up of 2 pieces, a replaceable vacuum seal and a metal screw band to secure the seal. The Vacuum Seal will need to be replaced after each use.",12,5010853138787,05010853832913,PRESERVE,KILNER,70,25,95,0.00016625
1.01,0025.400    ,KILNER PRESERVE JAR 0.5LITRE                 ,"Kilner 0.5litre Preserve Jar features a easy to use metal screw top lid made up of 2 pieces, a replaceable vacuum seal and a metal screw band to secure the seal. The screw band can be used up to 10 times.",12,5010853138008,05010853832272,PRESERVE,KILNER,83,83,127,0.000874903
1.24,0025.401    ,KILNER PRESERVE JAR 1 LITRE                  ,"Kilner 1litre Preserve Jar features a easy to use metal screw top lid made up of 2 pieces, a replaceable vacuum seal and a metal screw band to secure the seal. The screw band can be used up to 10 times.",12,5010853138022,05010853832289,PRESERVE,KILNER,93,93,178,0.001539522
0.6,0025.402    ,KILNER PRESERVE JAR 0.25 LITRE               ,"Kilner 0.25litre Preserve Jar features a easy to use metal screw top lid made up of 2 pieces, a replaceable vacuum seal and a metal screw band to secure the seal. The screw band can be used up to 10 times.",12,5010853173566,05010853877167,PRESERVE,KILNER,80,80,80,0.000512
0.84,0025.415    ,KILNER 50X50CM MUSLIN SQUARE                 ,The 50 x 50cm Muslin Square is 100% cotton with hemmed edges. The muslin square is machine washable.,12,5010853168555,05010853869803,ACCESSORIES,KILNER,180,4,295,0.0002124
1.07,0025.417    ,KILNER PACK OF 4 INFUSER BAGS                ,Kilner Infuser Bags are made from durable materials. The bags are 100% cotton and are available in packs of 4. H 75mm x W 95mm,12,5010853176925,05010853881317,ACCESSORIES,KILNER,95,95,75,0.000676875
1.07,0025.418    ,KILNER MINI FUNNEL                           ,Kilner Mini Funnel is made from durable materials designed to successfully preserve and pickle. The Funnel is made from stainless steel. H 55mm x W 55mm,12,5010853177281,05010853881669,ACCESSORIES,KILNER,50,55,55,0.00015125
1.41,0025.419    ,KILNER 20CM PAN RACK                         ,Kilner Pan Rack is made from durable materials designed to help successfully preserve and pickle. The Pan Rack is made from Stainless Steel and is available in 20cm.,6,5010853177298,05010853881676,ACCESSORIES,KILNER,200,200,17,0.00068
0.73,0025.422    ,KILNER PACK OF 24 FRUIT BLOSSOM LABELS       ,Kilner Fruit Blossom Labels are available in a pack of 24. The labels features fruit designs and a writing section.,12,5010853179025,05010853883991,ACCESSORIES,KILNER,230,160,5,0.000184
0.73,0025.423    ,KILNER PACK OF 24 HABERDASHERY LABELS        ,Kilner Haberdashery Labels are available in a pack of 24 and feature assorted designs.,12,5010853179032,05010853884004,ACCESSORIES,KILNER,230,160,5,0.000184
1.01,0025.424    ,KILNER PACK OF 24 FRUIT BLOSSOM JAM COVER    ,Kilner Fruit Blossom Jam Jar Covers and Elastic Bands are available in a pack of 24 and feature a fruit design.,12,5010853179049,05010853884011,ACCESSORIES,KILNER,230,160,5,0.000184
1.01,0025.425    ,KILNER PACK OF 24 HABERDASHERY JAM COVERS    ,Kilner Haberdashery Jam Jar Covers and Elastic Bands are available in a pack of 24 and feature assorted designs.,12,5010853179056,05010853884028,ACCESSORIES,KILNER,230,160,5,0.000184
1.97,0025.426    ,KILNER 108 PC FRUIT BLOSSOM JAM JAR SEAL SET ,"Kilner Fruit Blossom Jam Jar Sealing Set in available in 108 piece set. The set contains 24 assorted jar covers, 24 assorted adhesive labels, 10 x 5.5cm discs, 10 x 7.5cm discs, 20 cellophane covers and 20 elastic bands.",12,5010853179063,05010853884035,ACCESSORIES,KILNER,230,160,8,0.0002944
1.97,0025.427    ,KILNER 108PC HABERDASHERY JAM JAR SEALING SET,"Kilner 108 piece Haberdashery Jam Jar Sealing Set contains; 24 assorted jam jar covers, 24 assorted size adhesive labels, 10 x 5.5cm, 10 x 7.5cm, 20 cellophane covers and 20 elastic bands.",12,5010853179070,05010853884042,ACCESSORIES,KILNER,230,160,8,0.0002944
0.56,0025.428    ,KILNER PACK OF 200 WAX DISCS                 ,Kilner Wax Discs are available in a pack of 200. 100 discs are in size 5.5cm and 100 are in size 7.5cm.,12,5010853179711,05010853884950,ACCESSORIES,KILNER,155,100,8,0.000124
1.29,0025.429    ,KILNER PACK OF 100 CELLOPHANE DISC WITH BANDS,Kilner Cellophane Discs and Elastic Bands are available in a pack of 100 discs and 100 bands.,12,5010853179728,05010853884967,ACCESSORIES,KILNER,215,125,15,0.000403125
1.13,0025.452    ,KILNER HANDLED JAR CLEAR                     ,A fashionable and unique way to serve drinks from cocktails to ice tea. Round shape to sit with our Kilner preserve jars and features a contoured handle. Can be used with Kilner preserve lids. Kilner embossed logo. H 135mm x W 83mm x  L 105mm.,12,5010853201160,05010853909714,DRINKING,KILNER,105,83,135,0.001176525
1.46,0025.453    ,KILNER VINTAGE CLIP TOP BOTTLE 0.5 LITRE     ,Ideal for serving beverages from water & milk to cordials and ice tea. The Vintage Bottles have red ceramic lids and substantial clips with the added feature of a practical carry handle. Kilner embossed logo. H 220mm x W 88mm,12,5010853201146,05010853909691,BOTTLES,KILNER,88,88,240,0.00185856
1.91,0025.454    ,KILNER VINTAGE CLIP TOP BOTTLE 1 LITRE       ,Ideal for serving beverages from water & milk to cordials and ice tea. The bottles have red ceramic lids and substantial clips with the added feature of a practical carry handle. Kilner embossed logos. H 240mm x W 106mm,12,5010853201153,05010853909707,BOTTLES,KILNER,106,106,290,0.00325844
1.46,0025.456    ,KILNER SLOE GIN CLIP TOP BOTTLE 250ML        ,"Kilner 250ml Sloe Gin Bottle With Clip Top Lid has a traditional locking system that creates an airtight seal, the plastic lid has a locking metal clip and rubber seal for freshness, with replacement seals available. The bottle is dishwasher safe.",12,5010853184364,05010853890869,BOTTLES,KILNER,94,55,204,0.00105468
1.41,0025.457    ,KILNER HANDLED CLIP TOP BOTTLE 200ML         ,"Kilner 200ml Sloe Gin Bottle With Clip Top Lid has a traditional locking system that creates an airtight seal, the plastic lid has a locking metal clip and rubber seal for freshness, with replacement seals available. The bottle is dishwasher safe.",12,5010853184371,05010853890876,BOTTLES,KILNER,68,68,175,0.0008092
0.96,0025.458    ,KILNER MINI CLIP TOP BOTTLE 70ML             ,"Kilner 70ml Sloe Gin Bottle With Clip Top Lid has a traditional locking system that creates an airtight seal, the plastic lid has a locking metal clip and rubber seal for freshness, with replacement seals available. The bottle is dishwasher safe.",12,5010853184388,05010853890883,BOTTLES,KILNER,56,47,115,0.00030268
2.64,0025.459    ,KILNER PUSH TOP STORAGE  JAR 2 LITRE         ,"Kilner 2 litre Cookie Jar made from high quality glass. The quality rubber, airtight seal gives added freshness. The glass is dishwasher safe and full instructions are included. H 185mm x W 141mm",6,5010853184395,05010853890890,PUSH TOP,KILNER,141,141,185,0.003677985
0.62,0025.460    ,KILNER SQUARE CLIPTOP JAR 70ML SPICE JAR     ,"Kilner 70ml Square Clip Top Spice Jar is ideal for storing herbs and spices. The airtight rubber seal keeps the contents fresher for longer. They are also ideal for storing dry food, such as rice, sugar, flour, lentils etc. H 81mm x W 52mm.",12,5010853174549,05010853878386,SQUARE CLIP TOP,KILNER,75,52,81,0.0003159
1.69,0025.461    ,KILNER PUSH TOP STORAGE  JAR 0.65 LITRE      ,"Kilner Push Top Glass Storage Jar is durable and practical, and are ideal for storing dry foods, especially pasta, crackers and cereals. The quality silicone push top seal will ensure that the contents are kept fresh. H 132mm x W 110mm.",12,5010853194691,05010853901978,PUSH TOP,KILNER,110,110,132,0.0015972
2.08,0025.462    ,KILNER PUSH TOP STORAGE  JAR 1 LITRE         ,"Kilner 1 litre Push Top Jar is durable and practical, and are ideal for storing dry foods, especially pasta, crackers and cereals. The quality silicone push top seal will ensure that the contents are kept fresh. H 172mm x W 110mm.",12,5010853194707,05010853901985,PUSH TOP,KILNER,110,110,172,0.0020812
1.95,0025.463    ,KILNER PUSH TOP STORAGE  JAR 1.5 LITRE       ,"Kilner 1.5 Litre Push Top Jar is durable and practical, and are ideal for storing dry foods, especially pasta, crackers and cereals. The quality silicone push top seal will ensure that the contents are kept fresh. H 232mm x W 110mm.",12,5010853194714,05010853901992,PUSH TOP,KILNER,110,110,232,0.0028072
3.26,0025.464    ,KILNER PUSH TOP STORAGE  JAR 2.35 LITRE      ,"Kilner 2.35 Litre Push Top Jar is durable and practical, and are ideal for storing dry foods, especially pasta, crackers and cereals. The quality silicone push top seal will ensure that the contents are kept fresh. H 331mm x W 110mm.",6,5010853194721,05010853902005,PUSH TOP,KILNER,110,110,331,0.0040051
2,0025.467    ,KILNER SET OF 4 SHOT JARS WITH LIDS          ,The Kilner jar shaped shot glasses provide a fashionable way to serve a variety of drinks. Complete with lids for maximum freshness.  Also suitable for preserving and dried food storage. 55ml capacity. ,6,5010853201849,05010853910499,DRINKING,KILNER,220,50,60,0.00066
0.68,0025.468    ,KILNER HEXAGONAL 90ML SPICE JAR              ,The hexagonal spice jar is ideal for storing a wide range of herbs and spices.  Features a traditional clip top lid and rubber seal for maximum freshness.  90ml capacity.,12,5010853202075,05010853924717,JARS                          ,KILNER,72,60,80,0.0003456
1.01,0025.470    ,KILNER SQUARE CLIP TOP BOTTLE 250ML          ,"Kilner 0.25litre Square Clip Top Bottles are designed to help preserve juice and oil. With a swing top locking system, airtight seal and plastic cap they can be reused many times.",12,5010853174365,05010853878133,BOTTLES,KILNER,56,56,200,0.0006272
1.24,0025.471    ,KILNER SQUARE CLIP TOP BOTTLE 550ML          ,"Kilner 0.55litre Square Clip Top Bottles are designed to help preserve juice and oil. With a swing top locking system, airtight seal and plastic cap they can be reused many times.",12,5010853174372,05010853878140,BOTTLES,KILNER,67,67,274,0.001229986
1.41,0025.472    ,KILNER SQUARE CLIP TOP BOTTLE 1 LITRE        ,"Kilner 1litre Square Clip Top Bottles are designed to help preserve juice and oil. With a swing top locking system, airtight seal and plastic cap they can be reused many times.",12,5010853174389,05010853878157,BOTTLES,KILNER,75,75,318,0.00178875
0.68,0025.473    ,KILNER 12 REPLACEMENT CLIP TOP BOTTLE SEALS  ,Kilner Replacement Preserve Bottle Seals are available in a pack of 12 and cliptop.,12,5010853177557,05010853881935,BOTTLES,KILNER,250,143,145,0.00518375
1.07,0025.489    ,KILNER PACK OF 6 STANDARD RUBBER SEALS       ,"Kilner Rubber Seals are suitable to use with the Round Clip Top Glass Storage Jars. These replacement seals can fit 0.35, 0.5, 1, 1.5 and 2 Litre Jars.",12,5010853159201,05010853853680,ACCESSORIES,KILNER,135,15,195,0.000394875
1.41,0025.490    ,KILNER ROUND CLIP TOP JAR 0.5 LITRE          ,"Kilner Round 0.5litre Clip Top Glass Storage Jar has the Kilner brand embossed in the front and is finished with an orange rubber seal. The jars are perfect for storing dry foods stuff and also preserving fruits, jams and chutneys. H 115mm x W 110mm.",12,5010853158389,05010853852799,ROUND CLIP TOP,KILNER,125,115,110,0.00158125
1.6,0025.491    ,KILNER ROUND CLIP TOP JAR 1 LITRE            ,"Kilner 1litre Round Clip Top Glass Storage Jar has the Kilner brand embossed in the front and is finished with an orange rubber seal. The jars are perfect for storing dry foods stuff and also preserving fruits, jams and chutneys. H 180mm x W 110mm.",12,5010853158396,05010853852805,ROUND CLIP TOP,KILNER,130,110,180,0.002574
1.83,0025.492    ,KILNER ROUND CLIP TOP JAR 1.5 LITRE          ,"Kilner Round 1.5L Clip Top Glass Storage Jar has the Kilner brand embossed in the front and is finished with an orange rubber seal. The jars are perfect for storing dry foods stuff and also preserving fruits, jams and chutneys. H 230mm x W 110mm.",12,5010853158402,05010853852812,ROUND CLIP TOP,KILNER,113,137,230,0.00356063
2.08,0025.493    ,KILNER ROUND CLIPTOP JAR 2 LITRE             ,"Kilner Round 2L Clip Top Glass Storage Jar has the Kilner brand embossed in the front and is finished with an orange rubber seal. The jars are perfect for storing dry foods stuff and also preserving fruits, jams and chutneys. H 255mm x W 120mm.",6,5010853158419,05010853852829,ROUND CLIP TOP,KILNER,124,137,255,0.00433194
