ProductCode,Description,Cartons,OuterQty,TotQty,Price,Vat,TotPrice,Barcode,BarcodeCode,NearlyFull,FullBarcide
99/205,Napkins 3ply Champagne 40cm 20pc/12,2,12,24,0.50,1,12.00,5030481,99205,503048199205,5030481992056
99/206,Napkins 3ply Pink 40cm 20pc/12,1,12,12,0.50,1,6.00,5030481,99206,503048199206,5030481992063
99/207,Napkins 3ply Lilac 40cm 20pc/12,2,12,24,0.50,1,12.00,5030481,99207,503048199207,5030481992070
99/209,Napkins 3ply Green 40cm 20pc/12,2,12,24,0.50,1,12.00,5030481,99209,503048199209,5030481992094
99/210,Napkins 3ply Dark Blue 40cm 20pc/12,2,12,24,0.50,1,12.00,5030481,99210,503048199210,5030481992100
99/211,Napkins 3ply Red 40cm 20pc/12,4,12,48,0.50,1,24.00,5030481,99211,503048199211,5030481992117
99/212,Napkins 3ply Burgundy 40cm 20pc/12,1,12,12,0.50,1,6.00,5030481,99212,503048199212,5030481992124
99/216,Napkins 3ply Gold 40cm 20pc/12,1,12,12,0.58,1,6.96,5030481,99216,503048199216,5030481992162
99/217,Napkins 3ply Silver 40cm 20pc/12,1,12,12,0.58,1,6.96,5030481,99217,503048199217,5030481992179
99/333,Napkins Design 3ply Poppy 33cm 20pc/12,1,12,12,0.50,1,6.00,5030481,99333,503048199333,5030481993336
99/338,Napkins Design 3ply Party 33cm 20pc/12,1,12,12,0.50,1,6.00,5030481,99338,503048199338,5030481993381
99/343,Napkins Design 3ply Petal 33cm 20pc/12,1,12,12,0.50,1,6.00,5030481,99343,503048199343,5030481993435
99/347,Napkins Design 3ply Red Rose 33cm 20pc/12,1,12,12,0.50,1,6.00,5030481,99347,503048199347,5030481993473
