Code,Description,Inner,Outer,Cost,Inner Price,Barcode,Vat,Case Weight,Case Width,Case Height,Case Depth,Inner Weight,Inner Width,Inner Height,Inner Depth
TY4343,"11"" BELLOWS FOOT PUMP",6,6,2.55,15.3,78257696116,20.00,3.85,38,30,22.5,3.85,38,30,22.5
TY4354,BEE WOODEN WINDMILLS - 6 ASSORTED COLOURS,6,54,0.5,3,5033849069018,20.00,9.75,46,47,64,1.08,5.11,5.22,7.11
TY4365,DUAL SPINNING INSECT WINDMILL - 4 ASSORTED,24,48,0.55,13.2,5033849069124,20.00,7.1,40,37,62,3.55,20,18.5,31
TY4460,"5pc SMALL BUCKET SETS - 4 ASSORTED - ""NALU"" - NETTED",96,96,0.55,52.8,5033849396527,20.00,10.5,66,62,42,10.5,66,62,42
TY4837,3 ASSORTED FUN DOUGH-PIZZA FUN/FLOWER FUN/SNACK BAR,12,48,1,12,5033849225254,20.00,9.65,40,42,54,2.41,10,10.5,13.5
TY4868,SCARECROW BROOM (98cm) - 4 ASSORTED DESIGNS,24,24,0.75,18,5033849226497,20.00,9.35,40,52,100,9.35,40,52,100
TY5024,FROGGY FUN MASK & SNORKEL SET (AGE 3-10),6,6,2.05,12.3,78257559404,20.00,2.6,31,23,55,2.6,31,23,55
TY5034,"LIL' STAR SHADE BABY POOL (40"" x 34"") - SHELF BOX",6,6,5,30,78257574285,20.00,8.4,25,27,42,8.4,25,27,42
TY5248,"PLASTIC WATERING CAN IN D/BOX - 3 ASST - ""HELLO FISHY""",9,36,1.05,9.45,5033849239145,20.00,7.15,54,40,83,1.79,13.5,10,20.75
TY5251,"48"" PLASTIC OARS - POLYBAG HEADERCARD",6,6,2.75,16.5,78257596232,20.00,6.55,27,48,24,6.55,27,48,24
TY5258,"6"" PU FOOTBALLS IN DISPLAY BOX - ""M.Y""",12,36,1.6,19.2,5033849239541,20.00,8.35,50,96,34,2.78,16.67,32,11.33
TY5260,"8"" PU FLAME RUGBY BALL IN DISPLAY BOX - ""NALU""",12,36,1.55,18.6,5033849239626,20.00,7.3,39,68,51,2.43,13,22.67,17
